tmin	tier	text	tmax
0	Parlator	(.)	0.578696
0	Eksplorator	(...)	16.655843
0.578696	Parlator	S	0.692635
0.847665	Parlator	"e:#	1.155859
1.155859	Parlator	(.)	1.294079
1.294079	Parlator	n\	1.331436
1.331436	Parlator	e#	1.374396
1.374396	Parlator	t^S	1.475260
1.475260	Parlator	"e	1.544370
1.544370	Parlator	b^h\	1.594802
1.594802	Parlator	a#	1.669515
1.669515	Parlator	(.)	1.966502
1.966502	Parlator	(st)	2.005727
2.005727	Parlator	"a	2.071101
2.071101	Parlator	r	2.123400
2.123400	Parlator	a	2.186907
2.186907	Parlator	t^s\#	2.310185
2.310185	Parlator	e#	2.362484
2.362484	Parlator	(.)	2.534164
2.534164	Parlator	p^h\	2.569653
2.569653	Parlator	o_0#	2.605142
2.605142	Parlator	t^h	2.651838
2.651838	Parlator	o#	2.691063
2.691063	Parlator	v	2.732155
2.732155	Parlator	a	2.786322
2.786322	Parlator	d^h\	2.821811
2.821811	Parlator	"o	2.874111
2.874111	Parlator	m	2.928278
2.928278	Parlator	o#	2.988049
2.988049	Parlator	Z	3.038481
3.038481	Parlator	e#	3.098252
3.098252	Parlator	m	3.161758
3.161758	Parlator	a	3.223397
3.223397	Parlator	w	3.270093
3.270093	Parlator	Z	3.296243
3.296243	Parlator	e	3.359750
3.359750	Parlator	(n\stfje)#	3.501705
3.501705	Parlator	(.)	3.688490
3.688490	Parlator	(_)	3.751996
3.751996	Parlator	(_)	3.826710
3.826710	Parlator	(_)	3.927573
3.927573	Parlator	(_)	4.013494
4.013494	Parlator	(.)	4.288159
4.288159	Parlator	m	4.357269
4.357269	Parlator	(u)	4.431982
4.431982	Parlator	g^h\	4.480454
4.480454	Parlator	w	4.510339
4.510339	Parlator	"a#	4.566375
4.566375	Parlator	(_)	4.633617
4.633617	Parlator	(_)	4.708331
4.708331	Parlator	(_)	4.788486
4.788486	Parlator	(_)	4.880010
4.880010	Parlator	t^h	4.962449
4.962449	Parlator	r	5.049984
5.049984	Parlator	o	5.108141
5.108141	Parlator	G	5.143630
5.143630	Parlator	a#	5.169526
5.169526	Parlator	t^s\	5.251711
5.251711	Parlator	e	5.339753
5.339753	Parlator	Z^S	5.449702
5.449702	Parlator	1	5.483577
5.517198	Parlator	j#	5.584186
5.584186	Parlator	(.)	6.032468
6.032468	Parlator	a	6.079164
6.079164	Parlator	l	6.146406
6.146406	Parlator	e#	6.217384
6.217384	Parlator	t^h	6.277155
6.277155	Parlator	"a	6.366812
6.366812	Parlator	k^h#	6.460457
6.460457	Parlator	t^h	6.534917
6.534917	Parlator	o:#	6.820697
6.820697	Parlator	(.)	8.527742
8.527742	Parlator	(_)	8.585645
8.585645	Parlator	(_)	8.690244
8.690244	Parlator	(_)	8.863953
8.863953	Parlator	(_)	8.974156
8.974156	Parlator	(.)	9.063812
9.063812	Parlator	(_)	9.132922
9.132922	Parlator	(_)	9.278452
9.278452	Parlator	(_)	9.581550
9.581550	Parlator	(.)	10.206769
10.206769	Parlator	i	10.255840
10.255840	Parlator	n	10.349232
10.349232	Parlator	"o#	10.406628
10.406628	Parlator	(Z)	10.464531
10.464531	Parlator	e#	10.535509
10.535509	Parlator	t^h	10.604619
10.644351	Parlator	o#	10.675597
10.675597	Parlator	(.)	10.816031
10.816031	Parlator	s	10.864249
10.864249	Parlator	m	10.907209
10.907209	Parlator	(m#l)	10.983791
10.983791	Parlator	u	11.032701
11.032701	Parlator	t^s\	11.123879
11.123879	Parlator	e#	11.232214
11.232214	Parlator	k^h	11.299295
11.299295	Parlator	(tuZ)	11.433779
11.433779	Parlator	1#	11.502889
11.502889	Parlator	s	11.570131
11.570131	Parlator	o	11.648581
11.648581	Parlator	w#	11.708352
11.708352	Parlator	j	11.738744
11.779837	Parlator	u	11.826533
11.826533	Parlator	S#	11.904982
11.904982	Parlator	t^h	11.973585
11.973585	Parlator	a	12.068845
12.068845	Parlator	(k^h#fs)	12.164612
12.164612	Parlator	a	12.246797
12.246797	Parlator	s	12.362096
12.362096	Parlator	a	12.436810
12.436810	Parlator	t^s\	12.502184
12.502184	Parlator	e#	12.586237
12.586237	Parlator	n	12.659083
12.659083	Parlator	o#	12.735664
12.735664	Parlator	t^s	12.896298
12.896298	Parlator	"o#	12.965754
12.965754	Parlator	j	13.006847
13.006847	Parlator	o#	13.062536
13.124175	Parlator	(v)	13.167308
13.167308	Parlator	i	13.216045
13.216045	Parlator	m#	13.273948
13.273948	Parlator	(.)	14.114476
14.114476	Parlator	(d^z\)	14.149965
14.149965	Parlator	"e	14.235379
14.235379	Parlator	s\	14.308224
14.308224	Parlator	(in\t^s\#)	14.437105
14.437105	Parlator	(dva)	14.644436
14.644436	Parlator	(t^s\i_0s\t^s\)	14.805577
14.805577	Parlator	a_t#	14.857877
14.857877	Parlator	(rod^z\in#)	15.092622
15.092622	Parlator	(.)	15.746300
15.746300	Parlator	(na#s\lowsku#)	15.923745
15.923745	Parlator	(...)	17.558010
16.655843	Eksplorator	aha to juS tak	17.451543
17.451543	Eksplorator	(...)	41.896827
17.558010	Parlator	t^h	17.638327
17.638327	Parlator	o#	17.685023
17.685023	Parlator	j	17.752265
17.752265	Parlator	"u	17.860600
17.860600	Parlator	(S#)	18.101486
18.101486	Parlator	(_)	18.185539
18.185539	Parlator	(_)	18.331296
18.331296	Parlator	(_)	18.426490
18.426490	Parlator	(_)	18.511716
18.511716	Parlator	(_)	18.584561
18.584561	Parlator	(_)	18.918905
18.918905	Parlator	(.)	19.057125
19.057125	Parlator	t^h	19.095177
19.095177	Parlator	a#	19.140005
19.140005	Parlator	p^h	19.236438
19.236438	Parlator	i	19.253248
19.253248	Parlator	r	19.296904
19.296904	Parlator	S	19.360411
