tmin	tier	text	tmax
0	Parlator	(.)	0.630526
0.630526	Parlator	n	0.659391
0.659391	Parlator	o~	0.735675
0.735675	Parlator	h#	0.869689
0.869689	Parlator	(.)	1.226371
1.226371	Parlator	v	1.286162
1.286162	Parlator	""a	1.395435
1.395435	Parlator	d^	1.446979
1.446979	Parlator	~o	1.517078
1.517078	Parlator	(mo#)	1.820155
1.820155	Parlator	(.)	2.051071
2.051071	Parlator	p^h^j	2.135603
2.135603	Parlator	i	2.228381
2.228381	Parlator	v#	2.339716
2.339716	Parlator	l	2.397445
2.397445	Parlator	"e	2.444865
2.444865	Parlator	j	2.523211
2.523211	Parlator	e#	2.611867
2.611867	Parlator	x	2.679904
2.679904	Parlator	o	2.760313
2.760313	Parlator	t^z	2.978680
2.978680	Parlator	o~	3.069397
3.069397	Parlator	m#	3.203410
3.203410	Parlator	(.)	3.768329
3.768329	Parlator	m	3.817811
3.817811	Parlator	"a~	3.854923
3.854923	Parlator	j	3.918837
3.918837	Parlator	m#	3.976566
3.976566	Parlator	t^h	4.015739
4.015739	Parlator	a	4.098209
4.098209	Parlator	k^h	4.190988
4.190988	Parlator	e#	4.242532
4.242532	Parlator	t^s	4.335310
4.335310	Parlator	p^h	4.380669
4.380669	Parlator	a~	4.481695
4.481695	Parlator	N_0	4.522930
4.522930	Parlator	c^h#	4.623955
4.623955	Parlator	(.)	5.116713
5.116713	Parlator	(f)	5.162072
5.162072	Parlator	L	5.211554
5.211554	Parlator	c^h	5.324950
5.324950	Parlator	e#	5.415489
5.415489	Parlator	(.)	5.914432
5.914432	Parlator	i#	5.990716
5.990716	Parlator	d^h\	6.099989
6.099989	Parlator	"o	6.159780
6.159780	Parlator	l	6.213385
6.213385	Parlator	e	6.271114
6.271114	Parlator	v	6.332967
6.332967	Parlator	a	6.392757
6.392757	Parlator	(jm#)	6.530895
6.530895	Parlator	n\	6.596871
6.596871	Parlator	?#	6.656661
6.656661	Parlator	i	6.695835
6.695835	Parlator	n	6.761810
6.761810	Parlator	o#	6.854589
6.854589	Parlator	(.)	7.203025
7.203025	Parlator	"i#	7.304050
7.304050	Parlator	t^h	7.409200
7.409200	Parlator	o#	7.456620
7.497855	Parlator	t^h	7.572078
7.572078	Parlator	a	7.668980
7.668980	Parlator	k^h#	7.730832
7.730832	Parlator	(.)	8.126510
8.126510	Parlator	p^h^j	8.173930
8.173930	Parlator	i#	8.211042
8.355364	Parlator	G	8.497625
8.497625	Parlator	"a_t	8.569786
8.569786	Parlator	(_)	8.660503
8.660503	Parlator	s#	8.751220
8.751220	Parlator	(_)	8.874925
8.874925	Parlator	n\#	8.982136
8.982136	Parlator	(.)	9.408918
9.408918	Parlator	(n"o#)	9.602722
9.602722	Parlator	(.)	9.932602
9.932602	Parlator	i_t#	10.056307
10.056307	Parlator	n	10.095480
10.095480	Parlator	"a_t#	10.202691
10.202691	Parlator	s	10.303538
10.303538	Parlator	(o_0t)	10.447861
10.447861	Parlator	k^h#	10.561257
10.561257	Parlator	t^h	10.649912
10.699394	Parlator	o#	10.767432
10.767432	Parlator	S#	10.891137
10.891137	Parlator	p^h^j	10.983916
10.983916	Parlator	i	11.043706
11.043706	Parlator	j	11.093188
11.093188	Parlator	e#	11.146794
11.146794	Parlator	(du)	11.328228
11.328228	Parlator	(Z1)#	11.548835
11.548835	Parlator	(.)	12.773335
12.773335	Parlator	d^h\	12.805910
12.805910	Parlator	"1	12.876423
12.876423	Parlator	b^h	12.940337
12.940337	Parlator	1	13.026930
13.026930	Parlator	?#	13.088783
13.088783	Parlator	a	13.158469
13.158469	Parlator	l	13.212488
13.212488	Parlator	b^h\	13.247538
13.247538	Parlator	o#	13.317637
13.317637	Parlator	d^h\	13.373304
13.373304	Parlator	o:#	13.769160
13.769160	Parlator	s	13.878020
13.937810	Parlator	a	14.012446
14.012446	Parlator	t^S	14.119244
14.119244	Parlator	a#	14.166665
14.166665	Parlator	n\#	14.319234
14.319234	Parlator	(.)	14.826659
14.826659	Parlator	(dobre#tu#je#	15.476110
15.476110	Parlator	(.)	15.680223
15.680223	Parlator	s#	15.758569
15.758569	Parlator	t^h	15.795268
15.795268	Parlator	m#	15.845163
15.845163	Parlator	Z	15.914849
15.914849	Parlator	"e#	16.005979
16.005979	Parlator	p^h	16.110715
16.110715	Parlator	(z\n\)	16.241019
16.241019	Parlator	p^h	16.317303
16.317303	Parlator	(ovje)	16.405958
16.405958	Parlator	mj)#	16.513169
16.513169	Parlator	t^h	16.570898
16.570898	Parlator	o#	16.642468
16.642468	Parlator	u	16.708444
16.708444	Parlator	S#	16.781197
16.781197	Parlator	p^h	16.878099
16.878099	Parlator	(ijo)	16.991495
16.991495	Parlator	m#	17.063656
17.063656	Parlator	n	17.133756
17.183238	Parlator	o#	17.245090
17.245090	Parlator	(.)	17.583039
17.583039	Parlator	(do#teg)	17.803646
17.803646	Parlator	o#	17.867147
17.867147	Parlator	e	17.958277
17.958277	Parlator	S#	18.065488
18.065488	Parlator	e	18.154143
18.154143	Parlator	s#	18.259292
18.259292	Parlator	g^h\	18.308361
18.308361	Parlator	o	18.352071
18.352071	Parlator	(lo)	18.496393
18.496393	Parlator	N	18.591234
18.591234	Parlator	k^h	18.692260
18.692260	Parlator	o#	18.801532
18.801532	Parlator	(.)	19.459230
19.459230	Parlator	k^h	19.529330
19.529330	Parlator	a	19.601491
19.601491	Parlator	(pu)	19.817974
19.817974	Parlator	s	19.902506
19.902506	Parlator	t^h	20.009304
20.009304	Parlator	"a_t	20.228084
20.228084	Parlator	?#	20.312616
20.312616	Parlator	i#	20.409518
20.409518	Parlator	t^h	20.456938
20.456938	Parlator	a~	20.555902
20.555902	Parlator	p^h	20.626002
20.626002	Parlator	(povj)ed^zm1#)	20.836300
20.836300	Parlator	j	20.885547
20.937091	Parlator	e	20.980623
20.980623	Parlator	s#	21.108216
21.108216	Parlator	x	21.197106
21.197106	Parlator	l	21.244292
21.244292	Parlator	1#	21.298132
21.298132	Parlator	(.)	21.458535
21.458535	Parlator	z#	21.658525
21.658525	Parlator	(.)	22.040361
22.040361	Parlator	(sm)	22.159943
22.159943	Parlator	"a	22.244475
22.244475	Parlator	l	22.326532
22.326532	Parlator	t^s	22.442224
22.442224	Parlator	1	22.590435
22.590435	Parlator	m#	22.683214
22.683214	Parlator	(.)	23.306097
23.306097	Parlator	i:#	23.701953
23.788546	Parlator	t^h	23.893695
23.893695	Parlator	"e#	24.083376
24.083376	Parlator	(.)t^h	24.724402
24.724402	Parlator	i	24.831613
24.831613	Parlator	t^h	24.994491
24.994491	Parlator	"1#	25.064356
25.064356	Parlator	r	25.105591
25.105591	Parlator	1	25.165616
25.165616	Parlator	k^h	25.248086
25.248086	Parlator	r_0	25.322309
25.322309	Parlator	a	25.398594
25.398594	Parlator	j#	25.491372
25.491372	Parlator	(.)	25.827203
25.827203	Parlator	(do#)	26.076674
26.076674	Parlator	k^h	26.220819
26.220819	Parlator	r	26.325968
26.325968	Parlator	a	26.379986
26.379986	Parlator	n\#	26.594408
26.594408	Parlator	Suwt1#n\	27.210458
27.210458	Parlator	(.)	27.610672
27.610672	Parlator	n	27.655796
27.655796	Parlator	o#	27.730253
27.730253	Parlator	i_k#	27.926120
27.926120	Parlator	(.)	28.309605
28.309605	Parlator	j	28.369161
28.369161	Parlator	a#	28.431248
28.431248	Parlator	?	28.507120
28.507120	Parlator	i#	28.618867
28.618867	Parlator	"s\	28.711646
28.711646	Parlator	l	28.787518
28.787518	Parlator	e	28.837412
28.837412	Parlator	(d^z\ici)#	29.053483
29.053483	Parlator	(.)	30.158815
30.158815	Parlator	i#	30.315508
30.315508	Parlator	t^h	30.412410
30.412410	Parlator	o#	30.527868
30.527868	Parlator	s\	30.595906
30.595906	Parlator	e#	30.661882
30.661882	Parlator	v	30.725796
30.725796	Parlator	1	30.777340
30.777340	Parlator	p^h	30.890736
30.890736	Parlator	i	31.022688
31.070108	Parlator	o#	31.150104
31.208245	Parlator	(.)	32.290251
32.290251	Parlator	t^h	32.331486
32.331486	Parlator	"a#	32.412128
32.412128	Parlator	k^h	32.480166
32.480166	Parlator	s\	32.556451
32.556451	Parlator	r	32.645106
32.645106	Parlator	t^h\	32.770873
32.770873	Parlator	n\	32.909010
32.960554	Parlator	o#	33.071888
33.071888	Parlator	(.)	33.312700
33.312700	Parlator	n	33.348162
33.348162	Parlator	o#	33.412077
33.412077	Parlator	g^h	33.551863
33.551863	Parlator	s\#	33.669795
33.669795	Parlator	k^h	33.754327
33.754327	Parlator	o#	33.871434
33.871434	Parlator	t^S	34.012045
34.012045	Parlator	t^s\	34.089979
34.089979	Parlator	"e	34.172862
34.172862	Parlator	t^b^h\#	34.412025
34.412025	Parlator	e#	34.504625
34.504625	Parlator	t^S#	34.609540
34.609540	Parlator	e	34.646651
34.646651	Parlator	(k#piva#)	35.079618
35.079618	Parlator	(.)	35.519006
35.519006	Parlator	z	35.622093
35.622093	Parlator	a#	35.708686
35.708686	Parlator	"e	35.817959
35.817959	Parlator	d^h\	35.902078
35.902078	Parlator	n#	36.022072
36.022072	Parlator	(_)	36.104542
36.104542	Parlator	(_)	36.182889
36.182889	Parlator	(.)	36.496274
36.496274	Parlator	s	36.580806
36.580806	Parlator	t^h	36.638535
36.638535	Parlator	u#	36.699975
36.699975	Parlator	L	36.776672
36.776672	Parlator	t^h	36.865328
36.865328	Parlator	r	36.916458
36.916458	Parlator	o	36.953805
36.953805	Parlator	v	37.025966
37.025966	Parlator	e#	37.069262
37.069262	Parlator	b^h\	37.122868
37.122868	Parlator	e	37.190906
37.190906	Parlator	t^S	37.331105
37.331105	Parlator	(ki_0)#	37.770022
37.770022	Parlator	(.)	38.454758
38.454758	Parlator	(z#d1m#)	38.567741
38.567741	Parlator	Z	38.611038
38.611038	Parlator	"e#	38.656396
38.656396	Parlator	d^h	38.724847
38.724847	Parlator	o#	38.778039
38.778039	Parlator	e#	38.865046
38.865046	Parlator	g^h\	38.920713
38.920713	Parlator	d^z\	39.011017
39.011017	Parlator	s\#	39.054727
39.054727	Parlator	k^h	39.122764
39.122764	Parlator	o	39.180080
39.180080	Parlator	w#	39.211007
39.211007	Parlator	t^S	39.312032
39.312032	Parlator	1	39.369761
39.369761	Parlator	s	39.415354
39.415354	Parlator	t^h#	39.522331
39.522331	Parlator	k^h	39.609159
39.609159	Parlator	u	39.683147
39.683147	Parlator	d^z\	39.763790
39.763790	Parlator	(in#)	40.025397
40.025397	Parlator	(.)	40.293659
40.293659	Parlator	(no#)	40.372006
40.372006	Parlator	?	40.407056
40.407056	Parlator	"a	40.520452
40.520452	Parlator	(le#)	40.637559
40.637559	Parlator	(.)	41.466794
41.466794	Parlator	(_)	41.648228
41.648228	Parlator	(_)	41.780002
41.780002	Parlator	(_)	42.072770
42.072770	Parlator	(_)	42.305748
42.305748	Parlator	s	42.485120
42.485120	Parlator	p^h	42.600578
42.600578	Parlator	(o_0r_0t)#	42.849637
42.849637	Parlator	(.)	43.542797
43.542797	Parlator	i#	43.668151
43.668151	Parlator	g^h\	43.773300
43.773300	Parlator	v	43.810412
43.810412	Parlator	"a	43.868553
43.868553	Parlator	rr	43.890820
43.890820	Parlator	a	44.000093
44.000093	Parlator	n	44.049574
44.049574	Parlator	t^h	44.136581
44.136581	Parlator	u	44.229181
44.229181	Parlator	j	44.299281
44.299281	Parlator	a#	44.406492
44.406492	Parlator	(.)	44.678643
44.678643	Parlator	S	44.771421
44.771421	Parlator	e#	44.835335
44.835335	Parlator	(po_0)#	44.977361
44.977361	Parlator	t^h	45.093054
45.093054	Parlator	a	45.183358
45.183358	Parlator	(ci_0j_0)#	45.451385
45.451385	Parlator	(.)	45.791987
45.791987	Parlator	(imprez\ez\e#)	46.410512
46.410512	Parlator	(.)	46.806189
46.806189	Parlator	(_)	46.892783
46.892783	Parlator	(_)	46.960820
46.960820	Parlator	(povjetsmy#)	47.210292
47.210292	Parlator	n	47.350491
47.350491	Parlator	a#	47.432961
47.432961	Parlator	(tt^s\)	47.672124
47.672124	Parlator	n\#	47.750470
47.750470	Parlator	m	47.857268
47.857268	Parlator	o	47.915410
47.915410	Parlator	S#	48.020559
48.020559	Parlator	p^h	48.084473
