Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.055706   1060.504973   1284.457425   2307.800850   3364.217816
0.068206   59.160508   1152.242963   2318.049456   3328.094750
0.080706   192.079985   1115.584211   2388.683395   3269.590339
0.093206   989.960683   1010.741244   2395.067662   3267.384775
0.105706   646.611957   1776.649748   2527.300668   3405.268513
0.118206   242.133841   1677.233450   2559.970641   3432.507846
0.130706   117.886990   1650.782227   2453.048543   3371.746112
0.143206   670.330753   1768.307791   2792.922185   3916.750964
0.155706   1586.453488   2587.901357   3711.880757   4428.084426
0.168206   176.994551   1502.763900   2481.461333   3509.102025
0.180706   216.295058   1731.312764   2655.126107   3741.714068
0.193206   256.074563   1239.406025   2108.652014   3047.102596
0.205706   285.118240   896.585749   2118.835650   3018.758797
0.218206   309.375992   848.673210   2364.543185   3252.356716
0.230706   421.380955   1142.379520   2343.930957   3548.351129
0.243206   417.998168   1231.166394   2579.461646   3412.316202
0.255706   376.213943   1299.386051   2693.135141   3461.535140
0.268206   347.825200   1470.525675   2707.067036   3510.972640
0.280706   290.126836   1505.279638   2689.603845   3649.692710
0.293206   283.950606   1536.115349   2632.257742   3537.099259
0.305706   295.351629   1399.679880   2617.855316   3478.240424
0.318206   270.581435   1854.961295   2783.839496   3833.279205
0.330706   268.513929   1722.100854   2740.867194   3873.332949
0.343206   313.715788   1656.427222   2614.850145   3755.354586
0.355706   355.320996   1627.524246   2670.800248   3811.517312
0.368206   427.996014   1500.033003   2541.753713   3618.219394
0.380706   444.800458   1370.952516   2486.175515   3475.718032
0.393206   444.139283   1217.975709   2548.539995   3340.656301
0.405706   449.929387   1153.094374   2753.700779   3310.332154
0.418206   429.025897   1072.122578   2777.652428   3347.475611
0.430706   381.503274   995.298643   2496.890819   3348.954596
0.443206   324.670385   937.514159   2404.223977   3367.128172
0.455706   289.051775   882.386641   2115.568590   3051.668037
0.468206   271.316456   944.635395   2022.299751   3169.413068
0.480706   271.872560   1088.178043   2506.828435   3387.213491
0.493206   329.287757   1207.831109   2591.116556   3386.643568
0.505706   216.382982   1656.628261   2855.849178   3888.706153
0.518206   355.137421   1746.911132   2895.243135   3831.249531
0.530706   269.060633   1735.502509   2887.055939   3818.972582
0.543206   306.882486   797.230240   2577.212141   2959.580089
0.555706   318.619954   852.900286   2501.135331   3689.393828
0.568206   380.442324   938.810910   2507.799135   3715.362804
0.580706   426.654669   1039.908998   2485.778482   3573.007898
0.593206   452.872276   1127.971171   2544.296993   3536.138232
0.605706   444.047172   1189.658255   2681.889127   3670.943157
0.618206   401.195050   414.919330   1249.619450   2661.970455
0.630706   368.165234   1258.515954   2687.500451   3835.607946
0.643206   281.189935   1095.964885   2513.417483   3516.237225
0.655706   313.227953   1130.640971   2483.217097   3798.570812
0.668206   771.444659   2097.692913   2777.978919   3941.744349
0.680706   854.279880   1936.384129   2779.965083   3977.935821
0.693206   315.681893   1757.327637   2742.175552   3996.234936
0.705706   417.384225   1710.680481   2643.374100   3913.293993
0.718206   418.855987   1709.713310   2622.103065   3799.037848
0.730706   440.028241   1710.508284   2565.096815   3635.970726
0.743206   449.958631   1670.175900   2471.669913   3620.434709
0.755706   418.996678   1588.628594   2371.314174   3625.787512
0.768206   313.822827   1467.175320   2359.934783   3522.125992
0.780706   249.036690   1354.007483   2456.364133   3445.099420
0.793206   244.983093   1291.131730   2520.527647   2899.272789
0.805706   243.281347   1271.851878   2503.208797   2749.138965
0.818206   242.064028   1244.955948   2465.931666   2737.678405
0.830706   241.641659   1186.187177   2462.006240   2709.455562
0.843206   241.540022   1125.771653   2491.244906   2541.392104
0.855706   242.787464   1069.625685   2476.391515   2591.062030
0.868206   244.176121   1013.303545   2465.863554   2621.430960
0.880706   244.651441   1117.278921   2469.811399   2725.106319
0.893206   241.792026   1079.664530   2476.486998   2749.761472
0.905706   241.339522   999.528524   2477.449991   2744.424677
0.918206   244.090500   970.591851   2494.465299   2703.046555
0.930706   254.532294   1358.921107   2517.861125   2915.888455
0.943206   261.158093   1288.374602   2507.295760   3187.739427
0.955706   254.630047   1450.416125   2517.538128   3519.460719
0.968206   255.953975   1723.745711   2606.759222   3726.355944
0.980706   266.424536   1846.676704   2566.451041   3690.197736
0.993206   277.672832   1727.201643   2528.842699   3837.305245
1.005706   279.197786   1690.702255   2515.071464   3799.838187
1.018206   281.027363   1625.780156   2526.018666   3698.086344
1.030706   1476.344298   2496.902126   3614.766729   4535.559296
1.043206   1471.948536   2482.357961   3558.550679   4605.497633
1.055706   1581.957279   2369.653885   3588.359308   4598.008272
1.068206   1633.354164   2473.769472   3555.362201   4641.934623
1.080706   591.184748   1592.994572   2588.686987   3552.288286
1.093206   344.874915   1723.846862   2656.430390   3576.899843
1.105706   334.762537   1742.483715   2745.250971   3818.723472
1.118206   318.587435   1717.140222   2762.654113   3942.742831
1.130706   406.975480   1627.793351   2710.180015   3803.648984
1.143206   522.235462   1552.372228   2673.130023   3773.691797
1.155706   578.373836   1460.079173   2608.958370   3312.465611
1.168206   599.995216   1417.005936   2530.254634   3462.286224
1.180706   588.528227   1409.035860   2517.138451   3169.920143
1.193206   556.404475   1412.874272   2374.756107   3064.369675
1.205706   517.266794   1415.850399   2316.240476   3221.397004
1.218206   452.059517   1414.696650   2320.367944   3279.865515
1.230706   354.894186   1389.373157   2321.374694   3321.326898
1.243206   247.498493   1384.813167   2349.168918   3214.279885
1.255706   233.648522   1407.307278   2391.082394   3079.840353
1.268206   229.440169   1318.033130   2321.168110   3322.907217
1.280706   233.667142   1152.405496   2316.176547   3572.014833
1.293206   217.309460   1227.925635   2322.539599   3557.409733
1.305706   244.497191   1510.777139   2420.957446   3423.622709
1.318206   259.875106   1578.004764   2577.539185   3506.254417
1.330706   313.158323   1499.946793   2602.666317   3592.891789
1.343206   308.649773   1400.877999   2688.398184   3832.948987
1.355706   407.262852   1385.396914   2632.131335   3878.788193
1.368206   497.764241   1389.257806   2597.771431   3850.350997
1.380706   527.896984   1409.764875   2637.102265   3777.454863
1.393206   553.520758   1405.445524   2627.789623   3800.968011
1.405706   205.006857   539.119087   1364.562438   2586.721413
1.418206   515.988952   1292.268556   2530.275025   3757.434455
1.430706   382.471255   1232.471388   2515.901939   3750.301850
1.443206   236.876710   1399.271995   2559.469362   3820.628388
1.455706   280.881201   1437.236532   2616.999409   3974.567451
1.468206   491.600100   1467.929965   2599.524815   3890.010793
1.480706   514.196434   1421.072580   2584.624517   3772.281234
1.493206   985.631358   1933.113581   2741.981923   3734.251292
1.505706   984.899189   1962.508689   2696.915678   3756.676937
1.518206   360.151222   1415.976394   2543.183589   3783.680631
1.530706   340.334989   874.499609   2265.327274   3750.793805
1.543206   357.910738   923.753696   2210.078639   2726.053902
1.555706   368.429140   1058.154733   2061.280960   2761.843276
1.568206   330.301014   1176.413526   1786.417596   2543.974357
1.580706   280.976672   1251.021079   1499.046301   2519.863126
1.593206   242.054969   1363.304947   1535.062045   2662.188182
1.605706   247.144619   1505.774923   2228.488796   3064.162647
1.618206   282.221914   1787.248638   2372.535040   3353.561396
1.630706   349.105271   1778.937822   2282.029438   3352.787763
1.643206   491.141219   1760.613280   2333.223226   3319.073785
