Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025346   939.172576   2110.924443   3030.106003   4493.277300
0.031596   1933.132865   2220.256606   3245.816565   4422.415955
0.037846   431.546855   1830.526054   3121.222601   4034.927494
0.044096   1044.069101   2979.439196   3014.182233   4506.626922
0.050346   1154.065897   2483.616705   3068.433985   4454.341466
0.056596   160.067287   1249.950834   2552.920172   3133.584335
0.062846   418.279481   1512.329923   2768.551785   4055.437047
0.069096   379.849957   1606.775258   2745.437658   3783.354375
0.075346   341.327088   1572.950775   2872.757763   3748.764467
0.081596   456.208250   1656.345608   3345.712970   4854.705904
0.087846   93.333363   1626.825581   2737.368401   3080.261099
0.094096   426.259256   1473.952556   2423.394704   3576.975129
0.100346   452.633074   1174.135867   2307.203221   3414.093292
0.106596   456.222897   1136.800963   2612.051791   3503.973280
0.112846   491.138284   1503.998194   3051.939995   4145.475232
0.119096   495.526024   1383.883628   2924.206456   4275.471707
0.125346   398.316233   1240.754923   2765.557979   4128.281517
0.131596   379.289343   1177.326435   2421.349495   3470.394353
0.137846   410.808746   1195.383966   2807.971993   3651.658065
0.144096   457.847695   1204.576332   2884.532154   3845.629938
0.150346   462.518738   1220.323873   2740.279801   3915.466811
0.156596   421.328179   1217.832912   2732.081311   3835.792285
0.162846   407.635802   1206.435995   2694.742436   3716.137334
0.169096   428.226822   1193.388500   2726.244781   3824.746728
0.175346   423.436984   1207.612659   2783.888921   3764.947555
0.181596   388.140965   1245.076723   2694.442383   3645.505893
0.187846   250.296411   1258.084876   2618.736432   3619.620428
0.194096   310.972313   1281.186895   2539.695648   3488.578368
0.200346   311.179463   1376.398527   2511.508682   3440.590474
0.206596   316.545147   1307.403796   2535.586581   3507.417226
0.212846   371.200827   1333.865489   2588.031059   3465.316045
0.219096   357.739381   1450.562992   2850.363885   3802.883680
0.225346   319.355563   1826.816457   2594.102221   3486.705898
0.231596   296.960561   1462.551329   2551.501541   3660.526558
0.237846   231.641521   1361.164404   2738.442776   3794.098653
0.244096   220.266669   1390.452866   2905.629553   3873.375301
0.250346   235.452914   1470.910986   2848.940433   3866.328591
0.256596   260.245722   2038.081078   2956.479443   3063.452015
0.262846   284.862877   2035.975387   2899.317543   4173.360436
0.269096   320.699309   2000.747628   2826.260367   4053.513718
0.275346   404.972827   1963.050694   2526.338059   3640.243552
0.281596   399.835101   1968.893136   2541.305641   3823.023702
0.287846   358.055180   2058.312942   2413.918089   3462.414356
0.294096   321.401579   2004.308892   2452.082873   3860.943103
0.300346   314.867069   1962.794658   2658.580942   3877.334477
0.306596   346.254199   1948.622670   2974.212365   4064.062023
0.312846   359.971377   1962.438415   2899.348476   3956.611222
0.319096   320.176656   1964.992182   2798.926222   3824.880726
0.325346   297.159364   1447.267084   2576.119648   3843.892939
0.331596   306.493932   1505.939673   2597.933192   3911.750526
0.337846   311.442008   1806.184282   2594.170490   3796.796131
0.344096   305.714893   1781.616677   3131.320096   3669.638477
0.350346   327.460568   1852.877892   2490.121015   3465.639109
0.356596   296.333541   1784.550413   2522.434104   3717.366508
0.362846   293.399435   1723.141138   2553.046400   3472.959809
0.369096   302.801819   1482.384664   2589.777998   3842.182787
0.375346   303.909037   1445.136472   2524.463644   3491.801924
0.381596   302.514272   1604.308303   2541.423965   3798.440652
0.387846   300.905534   1626.558349   2554.144752   3880.157398
0.394096   312.803661   1674.941628   2563.741261   3943.273381
0.400346   318.004582   1742.363941   2659.323164   3878.213216
0.406596   382.376142   1733.103371   2791.668154   3736.757979
0.412846   389.153577   1722.289471   2410.184862   3470.010554
0.419096   362.482214   1707.718423   2423.072753   4043.392622
0.425346   376.360533   1909.704776   2365.391654   3912.128862
0.431596   401.020794   1950.240050   2381.992869   3828.531495
0.437846   392.277954   1981.393286   2504.978469   3799.453019
0.444096   363.355709   2027.375895   2671.945067   3815.668218
0.450346   341.050753   1770.779755   2647.225323   3845.414432
0.456596   322.489247   1658.938899   2566.935317   3663.672635
0.462846   318.181643   1724.852844   2515.195767   3719.870084
0.469096   307.707177   1847.680602   2518.193395   3574.070162
0.475346   305.364681   2379.907303   2450.968886   3605.550389
0.481596   309.306852   2336.436045   2740.550946   3731.897203
0.487846   305.636919   2339.732809   2830.881810   3749.682599
0.494096   292.058167   2324.065705   2842.163919   3611.883033
0.500346   290.286012   2281.275155   2781.845251   3583.509355
0.506596   294.861878   2124.774282   2780.727574   3642.545766
0.512846   302.098952   2049.407660   2832.619877   3677.811605
0.519096   293.075164   2220.253868   2905.986089   3752.756672
0.525346   285.744598   2007.024896   2908.694729   3792.511519
0.531596   274.490885   2059.929117   2900.945525   3878.830111
0.537846   279.340430   2072.123994   2917.111599   3618.642918
0.544096   291.756515   2061.341568   2780.604368   3593.814587
0.550346   308.093303   1966.447413   2470.097914   3535.446899
0.556596   316.704461   2312.601946   3057.746573   3992.663616
0.562846   331.821857   2157.240966   2962.862953   3776.779408
0.569096   406.666661   2608.641373   2850.021141   3516.207852
0.575346   506.626918   2900.427224   3055.619227   3907.198978
0.581596   497.877434   2410.371709   3017.577206   3961.565746
0.587846   505.961670   2191.475833   3018.569897   3128.562516
0.594096   506.465154   1853.946791   2955.821214   3510.579225
0.600346   498.137014   1741.125311   2956.250045   3599.152272
0.606596   495.643389   1572.060883   2988.700259   3264.589097
0.612846   491.505022   1630.953348   2953.687203   3193.054705
0.619096   488.017856   1634.056608   2932.925213   3799.463812
0.625346   485.512304   1645.811401   2921.284399   3810.402383
0.631596   479.977121   1637.646947   2920.454035   3631.706791
0.637846   463.362066   1639.774200   2881.150744   3666.827915
0.644096   453.238831   1592.116155   2803.216570   3767.159686
0.650346   451.619451   1546.328466   2804.614517   3934.426513
0.656596   438.432066   1551.342470   2481.334969   2943.225924
0.662846   434.880693   1596.408097   2930.719604   4205.235223
0.669096   433.605012   1594.886869   2962.078119   4032.199379
0.675346   412.233690   1531.143315   2984.628711   3145.904412
0.681596   396.593289   1624.319772   2543.723624   2951.902109
0.687846   379.860991   1646.775135   2853.829967   4244.331425
0.694096   366.082479   1662.128859   2901.579176   4057.283765
0.700346   418.131903   1692.034060   2968.242613   4063.611131
0.706596   412.567741   1712.218389   3006.570573   4059.134848
0.712846   405.800518   1946.623268   3088.822998   4016.285973
