tmin	tier	text	tmax
0	Parlator	(.)	0.405840
0	Eksplorator	(...)	6.285358
0.405840	Parlator	m	0.471657
0.471657	Parlator	u	0.528395
0.528395	Parlator	(viw)	0.657759
0.657759	Parlator	"o#	0.725845
0.725845	Parlator	s\	0.827974
0.827974	Parlator	e#	0.880173
0.880173	Parlator	p^h	0.977763
0.977763	Parlator	o_k#	1.027693
1.027693	Parlator	s\	1.129822
1.129822	Parlator	(l)	1.202447
1.202447	Parlator	o~	1.270533
1.270533	Parlator	s	1.352236
1.352236	Parlator	k_}#	1.463444
1.463444	Parlator	n\	1.576920
1.576920	Parlator	e#	1.649545
1.649545	Parlator	(.)	2.189695
2.189695	Parlator	c^h	2.239625
2.239625	Parlator	i_t	2.316789
2.316789	Parlator	b^h\	2.382605
2.382605	Parlator	"e_t	2.459769
2.459769	Parlator	l#	2.539203
2.539203	Parlator	v^j	2.641332
2.641332	Parlator	a	2.709418
2.709418	Parlator	(dr)#	2.922754
2.922754	Parlator	v^j	3.008997
3.008997	Parlator	"a	3.056657
3.056657	Parlator	(dr)	3.172403
3.172403	Parlator	a#	3.231411
3.274336	Parlator	n\#	3.360579
3.360579	Parlator	b^h\	3.403700
3.403700	Parlator	w	3.487672
3.535333	Parlator	o#	3.596610
3.676044	Parlator	(t^h)#	3.750939
3.750939	Parlator	(1)	3.832642
3.832642	Parlator	(w)#	3.905267
3.905267	Parlator	c^h	3.971083
3.971083	Parlator	i_t	4.023283
4.023283	Parlator	b^h\	4.091369
4.091369	Parlator	e#	4.170802
4.170802	Parlator	(_)	4.329670
4.329670	Parlator	(_)	4.402295
4.402295	Parlator	(_)	4.477190
4.477190	Parlator	(_)	4.565701
4.565701	Parlator	(_)	4.604284
4.604284	Parlator	(_)	4.672370
4.672370	Parlator	(_)	4.692795
4.692795	Parlator	(_)	4.881167
4.881167	Parlator	(_)	4.958331
4.958331	Parlator	(_)	5.173937
5.173937	Parlator	(_)	5.282874
5.282874	Parlator	(_)	5.346421
5.346421	Parlator	(_)	5.500750
5.500750	Parlator	(_)	5.652809
5.652809	Parlator	(_)	5.743590
5.743590	Parlator	(_)	5.872757
5.872757	Parlator	(_)	5.906800
5.906800	Parlator	(_)	5.993043
5.993043	Parlator	(_)	6.061129
6.061129	Parlator	(_)	6.151910
6.151910	Parlator	(_)	6.313047
6.285358	Eksplorator	no to mo	6.721109
6.313047	Parlator	(_)	6.367516
6.367516	Parlator	(_)	6.462836
6.462836	Parlator	(_)	6.567235
6.567235	Parlator	(_)	6.648938
6.648938	Parlator	(_)	6.791919
6.721109	Eksplorator	(.)	6.793734
6.791919	Parlator	(_)	6.844118
6.793734	Eksplorator	to nagr1vom	7.261258
6.844118	Parlator	(_)	6.891778
6.891778	Parlator	(_)	6.941708
6.941708	Parlator	(_)	7.016603
7.016603	Parlator	(_)	7.105115
7.105115	Parlator	(_)	7.150505
7.150505	Parlator	(_)	7.229939
7.229939	Parlator	(_)	7.481857
7.261258	Eksplorator	(...)	59.105556
7.481857	Parlator	(_)	7.540865
7.540865	Parlator	(_)	7.579447
7.579447	Parlator	(_)	7.688385
7.688385	Parlator	(_)	7.740584
7.740584	Parlator	(_)	7.776897
7.776897	Parlator	(_)	7.822288
7.822288	Parlator	(_)	7.901721
7.901721	Parlator	(_)	8.019737
8.019737	Parlator	(_)	8.081015
8.081015	Parlator	(_)	8.153640
8.153640	Parlator	(_)	8.208109
8.208109	Parlator	(_)	8.280734
8.280734	Parlator	(_)	8.444140
8.444140	Parlator	(.)	8.589194
8.589194	Parlator	(t^h)	8.748062
8.748062	Parlator	"a	8.799807
8.799807	Parlator	(c^h)#	8.935979
8.935979	Parlator	t^h	9.006789
9.006789	Parlator	a	9.069881
9.069881	Parlator	c^h	9.137967
9.137967	Parlator	e#	9.169741
9.169741	Parlator	(b1w1#n\uw	9.501093
9.501093	Parlator	a	9.556016
9.556016	Parlator	a~	9.633180
9.633180	Parlator	s	9.682656
9.682656	Parlator	(e_0)#	9.757550
9.757550	Parlator	p^h	9.839253
9.839253	Parlator	o#	9.887368
9.887368	Parlator	S	9.991312
9.991312	Parlator	t^h	10.023086
10.023086	Parlator	e_k	10.059398
10.059398	Parlator	r_k	10.127939
10.127939	Parlator	s	10.211912
10.211912	Parlator	(t1m)#	10.339006
10.339006	Parlator	(.)	10.935243
10.935243	Parlator	"o	10.978364
10.978364	Parlator	d#	11.044180
11.044180	Parlator	(^ZSt)	11.116805
11.116805	Parlator	r	11.216665
11.216665	Parlator	(st)	11.301092
11.301092	Parlator	e	11.355561
11.355561	Parlator	g^h\	11.403221
11.403221	Parlator	o#	11.469038
11.469038	Parlator	p^h(^j)	11.548471
11.548471	Parlator	u	11.609749
11.609749	Parlator	(nt)	11.682374
11.682374	Parlator	e	11.731849
11.731849	Parlator	g^h\	11.804474
11.804474	Parlator	o#	11.848050
11.848050	Parlator	r	11.902519
11.902519	Parlator	o	12.002378
12.002378	Parlator	(k^hu_0)#	12.192565
12.192565	Parlator	(.)	13.311900
13.311900	Parlator	t^h	13.359560
13.359560	Parlator	"o#	13.390683
13.390683	Parlator	(?)	13.422457
13.422457	Parlator	o	13.473037
13.473037	Parlator	t^S	13.529775
13.529775	Parlator	1	13.601750
13.601750	Parlator	v^j	13.658488
13.658488	Parlator	s\#	13.754459
13.754459	Parlator	Z#	13.917866
13.917866	Parlator	(p)	13.978947
13.978947	Parlator	(o_0)	14.047033
14.047033	Parlator	t^S	14.124197
14.124197	Parlator	(e)	14.237674
14.237674	Parlator	b^h\	14.273987
14.273987	Parlator	"o	14.328455
14.328455	Parlator	v	14.392002
14.392002	Parlator	(a_0l_0i_0s\m_01)#	14.573565
14.573565	Parlator	s\	14.662077
14.662077	Parlator	e~#	14.750589
14.750589	Parlator	(tm#gv)	14.957116
14.957116	Parlator	"a	15.008861
15.008861	Parlator	(r_0o_0_#	15.154112
15.154112	Parlator	(.)	15.326596
15.326596	Parlator	(_)	15.483194
15.483194	Parlator	(.)	15.617551
15.617551	Parlator	(_)	15.824079
15.824079	Parlator	(.)	16.443662
16.443662	Parlator	d^h\	16.482244
16.482244	Parlator	"a	16.531523
16.531523	Parlator	(lij)#	16.665426
16.921883	Parlator	(t^S1go#n\#zroz1mjow)	17.598204
17.598204	Parlator	(.)	18.320371
18.320371	Parlator	p^h	18.397535
18.397535	Parlator	S	18.472430
18.472430	Parlator	S1)#	18.546674
18.546674	Parlator	t^S	18.663071
18.663071	Parlator	1	18.735045
18.735045	Parlator	m#	18.816748
18.816748	Parlator	(.)	20.049560
20.049560	Parlator	s	20.167122
20.167122	Parlator	p^h	20.244740
20.244740	Parlator	"o	20.310102
20.310102	Parlator	t^h	20.371834
20.371834	Parlator	1	20.430388
20.430388	Parlator	k^h	20.507552
20.507552	Parlator	a	20.557481
20.557481	Parlator	w	20.607411
20.607411	Parlator	o#	20.671413
20.671413	Parlator	s\	20.764009
20.764009	Parlator	e#	20.873401
20.873401	Parlator	(s#f)	21.016382
21.016382	Parlator	i	21.070851
21.070851	Parlator	l	21.161632
21.161632	Parlator	o	21.231988
21.231988	Parlator	m	21.300074
21.300074	Parlator	a#	21.402203
21.402203	Parlator	p^S	21.635314
