Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.026178   913.784071   2452.961913   2636.452533   3980.271684
0.032428   983.006385   2288.403798   2631.415204   3822.768199
0.038678   792.492794   2173.406946   2985.975440   3896.228001
0.044928   650.901999   2011.401723   2982.291786   3930.003903
0.051178   620.211781   1888.595949   3087.468920   3943.008129
0.057428   628.934845   1752.514659   3202.045440   3954.271167
0.063678   608.651017   1866.881815   3116.103480   3928.965509
0.069928   636.527869   1887.390750   3041.730986   3866.719496
0.076178   731.601248   1826.338786   3018.759954   3848.115844
0.082428   822.491459   2066.531529   2984.244445   3564.243141
0.088678   894.449352   2009.127153   2756.924621   3633.909324
0.094928   980.774652   2021.490841   2742.059881   3549.523071
0.101178   1007.608392   2124.396915   3138.069480   3262.396111
0.107428   970.325776   2379.454051   3155.281208   3741.825314
0.113678   1002.092834   2366.755184   3144.299371   3943.561377
0.119928   904.204399   2306.186354   3131.028005   4154.389804
0.126178   971.500471   2183.575701   3125.159026   3997.311941
0.132428   1056.959149   2086.610264   3073.785237   3852.636000
0.138678   1075.481332   2186.867095   3108.989082   3933.388106
0.144928   1124.048041   2168.736768   3096.245929   3530.494731
0.151178   1120.217661   1973.209111   2744.678477   3527.836775
0.157428   1131.904965   1996.856537   2896.290626   3426.578062
0.163678   1135.136178   2010.048345   3044.673501   3453.811089
0.169928   1155.632747   1961.590520   2785.219659   3588.139953
0.176178   1227.003460   1952.081245   2735.407326   3635.938023
0.182428   1087.041292   1925.505862   2726.186086   3587.063060
0.188678   1069.156877   1963.267137   2807.942229   3545.202644
0.194928   1093.190154   1989.325989   2816.602475   3450.779646
0.201178   1458.179155   1994.955927   2953.218221   2971.669266
0.207428   1366.481936   1854.897696   2799.684200   3000.783828
0.213678   1093.590564   1877.454355   2931.040526   2980.032150
0.219928   994.516019   1853.119137   2571.796838   3406.144928
0.226178   1139.197951   1838.568668   2559.501762   3505.163287
0.232428   1084.197838   1871.930171   2706.082214   3707.005295
0.238678   1214.804562   1839.049570   2781.795926   3516.720840
0.244928   1330.732316   1863.158881   2798.893680   3017.678030
0.251178   1288.210731   1955.871757   2764.377938   3299.826136
0.257428   1233.886623   1837.702650   3039.345251   3127.089899
0.263678   1212.149957   1789.315785   3076.161352   3164.378016
0.269928   1259.456128   1815.328149   2750.206222   3490.499812
0.276178   1324.781067   1848.535949   2766.232429   3604.026128
0.282428   1331.987403   1828.571990   2790.361559   3544.567074
0.288678   1359.382468   1874.165953   2920.332256   3208.639159
0.294928   1534.925870   1899.271314   2957.288769   3332.427785
0.301178   1595.519305   2024.304965   2956.760472   3177.232133
