Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.056066   436.580900   1571.556225   2061.222534   4539.126100
0.068566   433.884499   1503.544954   2142.494486   4615.214421
0.081066   432.090844   1572.734233   1993.901532   4655.490906
0.093566   404.492590   1544.767636   1868.705466   4675.133213
0.106066   393.574090   1457.385990   1982.538797   4610.731933
0.118566   681.498621   1405.303735   2189.057711   4597.278374
0.131066   786.746156   1347.981655   2474.172195   4494.606481
0.143566   666.593041   1341.405032   2465.487226   4343.907028
0.156066   1397.536249   2533.277232   4244.126499   5079.201999
0.168566   128.525393   1389.951019   2575.033979   4320.603252
0.181066   271.294786   1393.693836   2579.443701   4254.187841
0.193566   241.725820   1426.605469   2544.417200   4220.726399
0.206066   162.612569   1445.735473   2466.809525   4281.349573
0.218566   1449.718911   2381.666448   4256.647127   5064.894949
0.231066   302.590881   1370.829359   2406.469444   4279.616672
0.243566   388.933372   1399.932706   2735.667702   4608.590110
0.256066   600.092007   1501.789604   3018.713201   4657.301129
0.268566   1015.244199   1458.851370   3200.595464   4790.676675
0.281066   387.069180   1398.642214   3119.419189   4484.295021
0.293566   369.675886   1411.438299   3106.721982   4707.450463
0.306066   439.331424   1475.578516   3227.940372   4706.175196
0.318566   501.651958   1349.109256   3145.557140   4432.366603
0.331066   416.944504   1604.804319   3257.815807   3784.186925
0.343566   354.870942   1660.923390   3203.205867   3865.223428
0.356066   356.375807   1399.952353   2872.023685   3841.334484
0.368566   355.405564   1208.499507   2559.013058   3909.266115
0.381066   383.177483   1298.650479   2223.158848   3874.419270
0.393566   457.999004   1335.200636   2449.949012   3617.859051
0.406066   516.487166   1315.169113   2467.375081   3646.252558
0.418566   527.760124   1260.418907   2189.837734   3787.403509
0.431066   540.269757   1197.047558   2362.428023   3687.733442
0.443566   546.404563   1281.202961   2948.412860   3831.823110
0.456066   487.525108   1272.796509   3200.814808   3827.078930
0.468566   455.903326   1243.029674   3050.166169   3856.185011
