Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025340   913.365439   1768.956377   2574.167399   3296.495344
0.031590   1178.003035   1611.810240   2369.111016   3074.210153
0.037840   1087.223883   1992.817589   2860.198687   3732.030969
0.044090   1080.890793   1906.860056   2541.057226   3248.795457
0.050340   1139.315139   2018.072293   2218.129465   3169.473101
0.056590   1191.290165   2023.356671   2390.332637   3315.968772
0.062840   1173.890138   1943.492812   2581.685929   3488.524199
0.069090   1119.266529   1863.104024   2545.850658   3424.636665
0.075340   1087.733697   1824.215534   2576.676799   3365.894109
0.081590   712.686605   1795.402303   2858.877468   3211.267804
0.087840   571.242412   1853.450783   2859.524877   3151.651246
0.094090   542.468111   1670.297015   2707.024122   3158.127292
0.100340   522.081689   1632.072309   2465.909556   3144.477121
0.106590   529.700685   1670.027270   2547.170661   3165.638712
0.112840   517.992213   1798.981311   2701.063227   3239.785495
0.119090   516.859208   1763.067159   2614.797720   3237.468808
0.125340   507.157568   1828.857080   2841.006681   3033.355731
0.131590   505.734164   1861.023211   2591.342186   3207.631721
0.137840   535.100447   1846.445597   2164.638570   3237.529581
0.144090   552.751767   1789.259915   2099.969069   3229.818697
0.150340   631.803556   1833.657274   2160.665395   3219.284507
0.156590   736.811964   1912.083907   2168.614274   3227.854498
0.162840   751.752039   1871.581225   2147.691154   3185.662352
0.169090   771.839379   1496.183235   2137.642297   3138.060288
0.175340   846.777267   1692.277803   1881.980898   3020.524593
0.181590   882.813003   1645.538223   1869.775694   3060.719833
0.187840   892.207183   1585.392249   1900.963711   3219.030354
0.194090   911.886832   1693.508023   1913.100323   3228.946291
0.200340   904.202063   1656.631852   1953.995452   3013.722237
0.206590   856.472664   1557.868951   2021.805954   2992.842301
0.212840   791.263966   1522.554181   2044.771021   2998.326127
0.219090   752.872450   1572.075510   2139.882203   3074.420774
0.225340   677.368903   1556.712179   2067.715154   3129.137026
0.231590   637.420579   1514.724612   2024.405669   3088.592071
0.237840   711.727462   1711.212758   1720.211884   2950.998553
0.244090   776.575880   1707.960976   2121.880115   2873.667196
0.250340   758.809755   1595.822407   2254.330359   3062.762815
0.256590   782.393995   1601.501119   2161.255380   3004.984706
0.262840   765.558769   1577.694389   2174.181233   3056.657512
0.269090   726.188962   1622.358906   2163.748209   3113.918439
0.275340   764.211889   1688.901190   2175.135059   3074.860675
0.281590   898.026663   1691.536987   2122.813025   3082.607400
0.287840   1189.232152   1882.233845   1906.483715   3086.034827
0.294090   1052.142663   1849.467727   3035.493130   3163.151871
0.300340   1034.992889   1806.260722   2939.261442   3248.844967
0.306590   1026.391552   1731.738887   2833.040349   3347.577406
0.312840   1192.250888   1780.143078   2922.650458   3211.597943
0.319090   1284.096371   1913.543748   2789.168586   3074.870291
0.325340   1253.481692   1873.670604   3016.556346   3091.503723
0.331590   1233.589605   1685.293080   2982.905737   3317.784845
0.337840   1382.388096   1698.235266   2993.147943   3278.117337
0.344090   1444.920684   1756.059332   3056.177952   3235.070079
0.350340   1467.666204   1789.833704   2761.809381   3037.164588
0.356590   1681.542951   1789.766794   3081.006150   3671.688975
0.362840   596.020108   1788.871262   2671.611590   3218.867435
0.369090   535.112511   1728.868719   2735.812723   3189.276147
0.375340   541.834234   1746.920649   2533.537336   3038.150165
0.381590   553.526740   1758.164814   2318.655188   3124.698067
0.387840   548.187395   1779.282188   2077.369028   3055.201100
0.394090   547.291071   1821.592555   2000.534675   3034.384759
0.400340   543.552139   1862.381742   1873.125306   3032.143500
0.406590   541.732966   1883.390348   1967.481519   2986.473214
0.412840   535.123680   1806.948532   2236.243199   3020.663119
0.419090   508.796394   1784.001368   2248.928136   3140.897049
0.425340   491.789563   1793.941030   2223.820793   3153.655344
0.431590   481.252201   1802.984088   2343.047139   3165.277581
0.437840   505.632489   1890.569962   2339.193388   3226.582792
0.444090   558.562867   2048.034596   2542.500899   3264.258480
0.450340   678.779371   1987.715841   2560.115814   3270.821760
0.456590   1279.332301   1726.642442   2542.756822   3267.045546
0.462840   1218.669980   1638.481018   2505.911346   3149.221718
0.469090   1156.059016   1610.366117   2473.027249   3131.164843
0.475340   1129.034112   1629.650606   2465.615360   3192.471577
0.481590   1363.525232   1899.219986   2543.875551   3292.878930
0.487840   1325.076185   1998.723257   2586.744310   3265.212871
0.494090   1191.978780   1986.357560   2544.736695   3248.227137
0.500340   1316.203353   1975.024088   2481.134541   3309.342239
0.506590   1377.500985   1993.938477   2501.090827   3285.927983
0.512840   1356.697808   1944.830026   2641.249329   3368.658919
0.519090   1528.726441   2120.268224   2684.120310   3179.481782
0.525340   1395.602067   1816.168289   2255.558625   3231.728896
0.531590   1368.734018   2047.526221   2619.535782   3285.650150
0.537840   1185.215320   2050.015480   3006.654079   3354.547268
0.544090   1349.097095   2061.553640   2208.427470   3272.447740
0.550340   975.452993   1959.732763   2673.800450   3301.359262
0.556590   1123.875005   2002.978547   2543.102647   3283.872170
0.562840   1133.610510   2013.837552   2501.314052   3280.750077
0.569090   1181.415759   1968.385271   2455.302801   3258.152957
0.575340   1315.979545   1969.411648   2471.795190   3237.559563
0.581590   1351.532327   1993.386960   2686.866657   3308.980485
0.587840   1276.116602   1953.937940   2612.583905   3292.748182
0.594090   1203.572472   1908.309300   2635.837542   3360.655622
0.600340   1199.813739   1913.160764   2466.273112   3314.196370
0.606590   1256.580905   2162.397017   2380.162983   3242.861909
0.612840   1153.143759   1905.661762   2540.966959   3288.559669
0.619090   1249.211181   1831.248881   2506.975721   3225.949569
0.625340   1135.848178   1913.356699   2512.057656   3200.547786
0.631590   1043.916134   1940.474374   2483.528341   3099.893365
0.637840   994.997642   1868.665814   2455.272696   3045.784073
0.644090   964.570434   1843.926766   2458.118259   3133.199014
0.650340   1078.345805   2015.975846   2825.556836   3203.325063
0.656590   1146.101544   2064.153586   2737.099365   3207.240784
0.662840   692.062867   1868.462211   2448.044647   3240.996077
0.669090   649.950904   1932.628441   2516.758835   3348.430664
0.675340   690.021262   1992.815713   2589.764315   3199.769387
0.681590   1270.542666   2012.737994   2620.843741   3330.780583
0.687840   1239.566856   1940.811656   2592.961036   3284.931971
0.694090   953.672735   1730.737854   2559.319886   3442.078739
0.700340   630.266197   1854.954140   2466.874197   3245.140850
0.706590   643.973279   1798.650706   1985.454288   3209.937650
0.712840   627.158198   1653.672652   2028.231046   3204.808043
0.719090   604.325830   1507.448200   2073.081424   3179.710987
0.725340   663.606238   1491.676319   2052.419400   3176.198517
0.731590   732.317545   1419.102349   2017.692133   3103.443126
0.737840   736.053280   1446.616855   2006.298979   3089.628612
0.744090   672.472869   1525.241662   2004.823270   3122.909340
