Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.027418   1076.282636   2173.307366   3089.917404   3959.267023
0.033668   1377.591170   2338.015329   3165.769790   4059.973978
0.039918   1370.224894   2217.529794   3116.777427   4048.217652
0.046168   1406.900558   2223.451554   3273.552379   4213.726505
0.052418   1292.936223   2224.898891   3285.179568   3825.508434
0.058668   1263.199803   2186.522971   3095.774016   3787.246876
0.064918   1333.478007   1932.800583   3034.094840   3897.421414
0.071168   1289.148993   2016.762414   3077.814387   3921.996849
0.077418   1143.346225   1995.649032   2954.135810   3936.163131
0.083668   1255.871763   1922.766127   2938.180304   4180.314857
0.089918   1263.855364   1966.515731   2985.275885   3785.783285
0.096168   1268.921860   2082.156983   3424.723299   3871.470363
0.102418   1278.516725   2139.460753   3414.156613   4292.250562
0.108668   1320.591392   2161.707787   3294.903023   4202.747747
0.114918   1261.660287   2084.194292   3194.151433   4251.315623
0.121168   1146.956923   2187.343616   3396.603748   3748.571039
0.127418   423.072694   1147.025887   2133.270378   3405.920916
0.133668   1188.875458   2154.416156   3311.352633   4539.687132
0.139918   1288.643877   2359.123445   3276.728196   4623.338666
0.146168   1331.190454   2347.103069   3307.790047   4755.427107
0.152418   1407.543824   2452.681394   3460.164035   4854.254710
0.158668   1308.663312   2521.855905   3476.276703   4927.810441
0.164918   1353.534719   2509.580091   3433.003429   4917.570105
0.171168   1486.025247   2277.144345   3323.862246   4562.243009
0.177418   1426.079726   2343.094393   3455.652859   4709.482427
0.183668   1438.345789   2370.613173   3483.654668   4819.590917
0.189918   1455.583321   1866.829196   3437.453046   4720.852847
0.196168   1271.686233   1896.735187   3463.480903   4824.423836
0.202418   1168.967025   1840.484705   3492.626878   4924.064172
0.208668   1001.202806   1764.219731   2676.865842   3609.275072
0.214918   977.587660   1601.268376   2611.570612   3658.392577
0.221168   697.361124   1609.832069   2381.961219   3525.495232
0.227418   860.362001   1628.710727   2087.316145   3519.063427
0.233668   941.362764   1615.483685   2381.523374   3566.968903
0.239918   1137.902624   1842.041759   2646.206268   3471.673025
0.246168   986.157608   1637.864641   3364.754895   4662.424106
0.252418   826.616182   1722.169562   3391.328347   4283.910586
0.258668   890.758327   1726.812802   3316.515202   4016.023040
0.264918   1007.332746   1682.207925   3415.060200   4002.153222
0.271168   964.870233   1743.131832   3415.298107   3537.750475
0.277418   840.228309   1763.062656   2902.351707   3633.808187
0.283668   907.249546   1795.245536   3400.337588   3713.161390
0.289918   952.082167   1683.923305   2839.926008   3748.505609
0.296168   972.036716   1794.004841   2855.256936   3719.477663
0.302418   958.980182   1889.583291   2882.072677   3568.661081
0.308668   1434.676450   2239.219765   3376.147019   4336.289402
