Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.055150   475.414528   765.127863   2442.602833   3350.391117
0.067650   463.331100   766.894423   2472.979391   3293.479955
0.080150   470.536131   732.808162   2421.554388   3205.193502
0.092650   480.248041   636.020541   2387.500366   3406.951955
0.105150   466.499123   678.648637   2450.074446   2864.162511
0.117650   453.614607   729.676090   2449.382710   3310.205260
0.130150   484.068725   2123.982609   2985.688470   4028.075614
0.142650   482.747834   1939.268575   2494.712143   3624.843594
0.155150   483.975002   487.754643   2171.370816   3241.437144
0.167650   523.409959   791.798771   2244.981615   3393.778794
0.180150   484.352631   837.428037   2442.156243   3581.880018
0.192650   408.875962   860.060194   2461.164528   3503.559517
0.205150   418.858742   907.083858   2412.053340   3271.915506
0.217650   437.362089   952.293890   2411.505455   3207.515808
0.230150   450.518249   1015.269933   2256.281822   3167.713041
0.242650   455.155378   1055.550548   2054.307195   3035.098866
0.255150   452.744746   1081.903644   1883.360731   3115.624266
0.267650   444.920833   1098.775231   1950.788018   3114.548895
0.280150   438.706016   1085.380705   2491.632977   3177.184570
0.292650   421.025416   1101.163912   2419.744092   3359.260266
0.305150   432.134927   1126.098067   2193.277041   3276.689729
0.317650   476.149113   1147.209386   2372.693435   3341.652548
0.330150   507.571673   1168.250036   1932.479995   2746.213880
0.342650   537.964367   1179.061815   1771.618893   2797.089658
0.355150   553.004004   1187.815830   1819.835686   2838.265400
0.367650   553.779628   1205.309099   1895.172953   2806.091361
0.380150   550.235913   1268.236136   1875.162083   2643.895860
0.392650   535.762781   1397.599136   2610.056066   3581.680811
0.405150   487.907521   1428.046991   2575.375859   3583.747199
0.417650   478.732754   1371.824873   2462.995491   3610.779174
0.430150   519.614075   1494.809755   2517.523220   3573.397495
0.442650   511.570646   1547.946626   2760.819131   3544.145865
0.455150   684.755180   1580.615632   3009.317898   3511.919184
0.467650   723.821403   1566.157541   2927.746233   3561.796507
0.480150   595.187510   1420.304699   2592.517111   3701.262463
0.492650   501.032493   1362.065911   2379.833583   3502.694671
0.505150   514.361087   1414.633592   2381.903883   3422.980485
0.517650   556.426434   1427.511135   2263.635366   3320.310891
0.530150   420.506526   1076.770424   1955.879660   3181.581422
0.542650   403.656343   1039.640488   2109.311577   3205.861157
0.555150   399.352576   1090.639478   2052.156393   3160.601752
0.567650   397.862710   1320.699368   1886.857418   3131.209086
