tmin	tier	text	tmax
0	Parlator	(.)	0.327770
0	Eksplorator	(...)	50.261007
0.327770	Parlator	t^h	0.366072
0.366072	Parlator	(O)	0.441012
0.441012	Parlator	#(f)	0.502629
0.502629	Parlator	(s\)	0.537145
0.537145	Parlator	"e	0.564535
0.579233	Parlator	(Li#m)	0.812378
0.812378	Parlator	1	0.847350
0.847350	Parlator	#d^h\	0.915628
0.915628	Parlator	O	0.962257
0.962257	Parlator	#G^x	1.073378
1.073378	Parlator	L	1.128789
1.128789	Parlator	i	1.178749
1.178749	Parlator	g^h\	1.222047
1.222047	Parlator	r	1.304302
1.348840	Parlator	"a	1.386830
1.558442	Parlator	(.)	1.871522
1.871522	Parlator	^fv	1.968110
1.968110	Parlator	"i	2.058038
2.058038	Parlator	S	2.177941
2.177941	Parlator	(.)	2.875566
2.875566	Parlator	(i)	2.955501
2.955501	Parlator	#t^h	3.043763
3.043763	Parlator	1	3.108711
3.108711	Parlator	n	3.163666
3.163666	Parlator	#x^C	3.240271
3.240271	Parlator	1	3.281904
3.281904	Parlator	g^h\	3.383488
3.383488	Parlator	"@	3.476746
3.476746	Parlator	#d^t^h	3.608307
3.608307	Parlator	O	3.784831
3.784831	Parlator	#v	3.869762
3.869762	Parlator	()	3.958024
3.958024	Parlator	a	4.006360
4.006360	Parlator	^1	4.059650
4.059650	Parlator	n	4.114605
4.114605	Parlator	#(v)	4.199537
4.199537	Parlator	"a	4.292795
4.292795	Parlator	s\	4.407702
4.407702	Parlator	a	4.470984
4.470984	Parlator	#^ZS	4.579230
4.579230	Parlator	t^h	4.637516
4.637516	Parlator	1	4.669157
4.669157	Parlator	r_X	4.700798
4.700798	Parlator	1	4.767411
4.767411	Parlator	#(t^h\)	4.830467
4.830467	Parlator	a	4.895414
4.895414	Parlator	x^C	4.983676
4.983676	Parlator	i	5.041963
5.041963	Parlator	#g^h\	5.088591
5.088591	Parlator	r_X	5.152100
5.152100	Parlator	"a	5.263306
5.263306	Parlator	t^s\	5.383209
5.383209	Parlator	@	5.446491
5.446491	Parlator	#b^h^j	5.556403
5.556403	Parlator	"e	5.623015
5.623015	Parlator	r_X	5.666314
5.666314	Parlator	O	5.751245
5.751245	Parlator	n	5.807866
5.836456	Parlator	O	5.889467
5.889467	Parlator	v	5.984390
5.984390	Parlator	1	6.044341
6.044341	Parlator	#n\	6.109289
6.109289	Parlator	e	6.197876
6.269160	Parlator	(.)	6.687155
6.687155	Parlator	t^h	6.727123
6.727123	Parlator	O	6.788739
6.788739	Parlator	#(Su^O)	6.892071
6.892071	Parlator	#l	7.010309
7.010309	Parlator	"E	7.068480
7.110146	Parlator	s\	7.248368
7.248368	Parlator	e	7.378345
7.378345	Parlator	#v	7.434966
7.434966	Parlator	"i	7.536550
7.536550	Parlator	S	7.676437
7.676437	Parlator	#t^S	7.812993
7.824087	Parlator	"a	7.869265
7.892929	Parlator	s	8.021159
8.021159	Parlator	k^hh	8.122743
8.164972	Parlator	a	8.213230
8.267626	Parlator	#n\	8.350892
8.350892	Parlator	i	8.585702
8.585702	Parlator	(.)	8.970247
8.970247	Parlator	i	9.010215
9.010215	Parlator	^a	9.038525
9.038525	Parlator	#d^h\	9.086819
