Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.026584   859.102449   1903.104278   2692.015186   3402.143986
0.032834   946.016386   1976.391313   2788.596596   3414.241882
0.039084   1002.468861   2118.183685   2826.516628   3451.258421
0.045334   906.029745   1984.603512   2512.749715   3497.438043
0.051584   938.750449   1680.767621   2497.850748   3410.548789
0.057834   762.820710   1739.633011   2496.044487   3343.659401
0.064084   709.019226   1807.775197   2655.072737   3386.206641
0.070334   629.441946   1799.727792   2405.144274   3347.627564
0.076584   549.354142   1796.229023   2416.598482   3339.609067
0.082834   576.890669   1937.065771   2355.980246   3335.982155
0.089084   513.729163   1736.030303   2382.978310   3337.063467
0.095334   434.772251   1842.418961   2518.039508   3459.967510
0.101584   540.088043   1934.385226   2732.110552   3439.737418
0.107834   556.656578   1952.265752   3049.531191   3101.888977
0.114084   928.687174   1891.897042   2913.372197   3500.567659
0.120334   1019.705301   1927.945940   2628.898709   3425.767602
0.126584   826.355646   1950.880489   2850.492013   3421.297877
0.132834   809.070489   1918.080846   2548.783511   3499.754333
0.139084   643.824621   1898.409574   2460.795768   3382.687125
0.145334   183.763109   1750.838306   2564.485356   3434.198350
0.151584   558.777863   1713.238638   2571.804319   3392.693708
0.157834   781.561267   1838.333308   2420.029859   3379.925206
0.164084   729.241234   1775.304153   2350.150523   3385.774814
0.170334   778.207399   1981.906564   2623.339239   3359.000403
0.176584   1009.824685   2089.163443   2706.779324   3473.258277
0.182834   647.399813   1746.575876   2403.424181   3387.535088
0.189084   642.399812   1695.381337   2388.903041   3180.562939
0.195334   698.525139   1862.429906   2284.206674   3198.519518
0.201584   739.784328   1845.009185   2304.219670   3218.810527
0.207834   769.739893   1802.675157   2601.694915   3477.074474
0.214084   771.574595   1785.726799   2509.011017   3425.213988
0.220334   826.182692   1814.170078   2682.531011   3451.803912
0.226584   942.937376   1888.989096   2839.755611   3478.642497
0.232834   923.652223   1885.975790   2808.669736   3380.154975
0.239084   771.996098   1922.192109   2562.620025   3277.930324
0.245334   799.866283   1949.204274   3003.801970   3244.625910
0.251584   832.593591   1887.337340   2945.388491   3031.472731
0.257834   808.422835   1835.526193   2609.742514   3339.848578
0.264084   716.122419   1762.631293   2609.457578   3465.984519
0.270334   693.358037   1688.746418   2532.847319   3353.673357
0.276584   725.734382   1684.772192   2670.664769   3256.299660
0.282834   1029.292825   1825.973945   2736.731416   3439.870119
0.289084   1078.537406   1952.137779   2807.518102   3480.159146
0.295334   811.742297   1900.458840   2705.412418   3464.089896
0.301584   729.475419   1851.666715   2442.163281   3357.237443
0.307834   769.784378   1909.863611   2412.237325   3358.309483
0.314084   675.360062   1861.972759   2487.886349   3295.620892
0.320334   748.780211   1732.360484   2458.323916   3418.375755
0.326584   1207.324115   1872.898062   2793.543169   3440.091648
0.332834   1043.444720   1914.235307   2650.742923   3430.796711
0.339084   663.383770   1816.822098   2596.884590   3420.430518
0.345334   713.765709   1919.187018   2768.867960   3438.732889
0.351584   773.431256   1874.394237   2340.749596   3440.908112
0.357834   725.750134   1730.003041   2361.242624   3400.515692
0.364084   822.340461   1638.458917   2401.625767   3430.624932
0.370334   918.668893   1665.910966   2481.876403   3352.724434
0.376584   769.733763   1673.358807   2498.985716   3370.780347
0.382834   974.169211   2231.965205   3102.904260   3522.024028
0.389084   688.387612   2018.794811   2592.771633   3346.009893
0.395334   649.467437   1972.557467   2528.107500   3395.328349
0.401584   845.214943   2113.791135   2132.031066   3050.501199
0.407834   761.501845   1985.079079   2581.799412   3367.215682
0.414084   738.207593   1759.760439   2449.766430   3315.029051
0.420334   718.062983   1789.791413   2420.924280   3396.390043
0.426584   724.530710   1710.547831   2380.696880   3341.531979
0.432834   689.165889   1638.536876   2393.091513   3280.732358
0.439084   761.519990   1774.926476   2465.601818   3237.178591
0.445334   752.900625   1838.419656   2637.005720   3364.896599
0.451584   693.089886   1736.373199   2565.345377   3259.339807
0.457834   651.911478   1754.538726   2556.655427   3369.182792
0.464084   644.267801   1759.935149   2632.393689   3556.487848
0.470334   764.611191   1694.865748   2607.990917   3468.895695
0.476584   904.732058   1875.705845   2704.558365   3467.597995
0.482834   860.700339   1959.041423   2681.478274   3472.197434
0.489084   796.900037   1973.018610   3001.355675   3454.740904
0.495334   725.246193   1909.625444   2646.278805   3412.424224
0.501584   685.287732   1863.086782   2670.043164   3424.751230
0.507834   728.110939   1799.468168   2411.236384   3271.176357
0.514084   611.318952   1667.594398   2451.106141   3240.196948
0.520334   807.075832   2004.277179   2621.127954   3372.978859
0.526584   764.317705   1959.440692   2470.329779   3328.948792
0.532834   755.961124   1898.255522   2348.500366   3253.336397
0.539084   765.073865   1857.755256   2336.288887   3274.642500
0.545334   747.796605   1818.566201   2443.134764   3473.126089
0.551584   856.961809   2060.925239   2679.656306   3450.161328
0.557834   785.664793   1707.756412   2524.722457   3416.611878
0.564084   811.520775   1744.153033   2385.047574   3253.556837
0.570334   815.122919   1805.808567   2267.657429   3161.015983
0.576584   1011.156699   2068.976852   2798.171699   3507.439937
0.582834   652.883715   1598.198729   2548.148297   3353.438611
0.589084   686.592344   1755.106646   2423.454164   3178.832452
0.595334   781.847812   1801.174376   2216.173793   3244.714629
0.601584   836.179781   1838.099768   2579.437888   3365.125676
0.607834   667.574162   1873.876788   2447.179589   3395.175974
0.614084   565.027101   1754.786882   2210.097835   3214.129744
0.620334   613.017937   1729.536627   2370.447629   3187.099441
0.626584   587.842373   1828.138075   2405.955611   3264.761920
0.632834   668.491429   1834.748049   2372.778955   3323.118024
0.639084   785.671119   1760.956480   2389.257498   3325.576968
0.645334   536.231038   1661.520231   2379.488504   3271.552378
0.651584   498.209263   1716.287161   2391.447103   3261.260452
0.657834   747.768536   1959.226809   2609.967161   3429.577659
0.664084   823.363858   2114.592317   2649.724065   3502.436066
0.670334   836.244471   2088.056362   2206.769814   2869.177091
0.676584   861.857919   1883.338554   2218.800632   3122.256747
0.682834   924.446228   1785.604462   2287.532736   2985.923477
0.689084   907.066311   1827.156620   2331.183127   3065.127495
0.695334   948.227403   1830.778339   2330.829268   3185.482163
0.701584   1019.698136   1781.083688   2313.328859   3206.286484
0.707834   1090.083721   1987.831340   2057.970572   3201.709041
0.714084   1085.482990   1966.276180   2438.240657   3207.052851
0.720334   987.129558   1848.468543   2495.068341   3186.454344
0.726584   1026.893012   1855.651685   2379.431975   3245.229164
0.732834   988.907420   1833.388862   2374.021223   3257.234614
0.739084   954.143471   1794.213242   2300.111176   3149.077750
0.745334   917.386758   1778.506701   2225.926393   3136.496507
0.751584   740.549857   1800.661842   2354.026993   3256.590880
0.757834   635.698730   1848.793845   2392.697735   3098.979794
