tmin	tier	text	tmax
0	Parlator	(.)	0.061522
0.061522	Parlator	t^h	0.105228
0.105228	Parlator	o#	0.186612
0.186612	Parlator	(_)	0.252925
0.252925	Parlator	(_)	0.337323
0.337323	Parlator	(_)	0.454877
0.454877	Parlator	(_)	0.554347
0.554347	Parlator	(_)	0.596546
0.596546	Parlator	(_)	0.712593
0.712593	Parlator	z\s\	0.875361
0.875361	Parlator	"i	0.973323
0.973323	Parlator	m	1.053200
1.053200	Parlator	o	1.118006
1.118006	Parlator	w#	1.152669
1.152669	Parlator	n#	1.196376
1.196376	Parlator	b^h	1.229532
1.229532	Parlator	w#	1.288309
1.288309	Parlator	t^h	1.359144
1.359144	Parlator	a	1.426964
1.426964	Parlator	c^h	1.541504
1.541504	Parlator	i#	1.609324
1.609324	Parlator	b^h	1.743457
1.743457	Parlator	"a	1.830869
1.830869	Parlator	d^h\	1.974045
1.974045	Parlator	1	2.028301
2.070369	Parlator	l#	2.103656
2.103656	Parlator	x	2.236151
2.236151	Parlator	u	2.334114
2.334114	Parlator	d^h\	2.435090
2.435090	Parlator	1#	2.567716
2.567716	Parlator	t^h	2.686777
2.686777	Parlator	w	2.739526
2.739526	Parlator	u	2.929422
2.929422	Parlator	g^J\^h\	3.099726
3.099726	Parlator	i#	3.267015
3.267015	Parlator	(.)	3.574465
3.574465	Parlator	b^h\	3.684484
3.684484	Parlator	j	3.726553
3.773404	Parlator	e	3.860816
3.860816	Parlator	d^h\	3.954127
3.954127	Parlator	n	4.074696
4.074696	Parlator	1#	4.163615
4.163615	Parlator	(.)	4.981976
4.981976	Parlator	j	5.036232
5.036232	Parlator	a	5.087474
5.087474	Parlator	g^\#	5.132687
5.132687	Parlator	n	5.208043
5.208043	Parlator	o#	5.262298
5.310526	Parlator	z\^s\	5.509465
5.509465	Parlator	vj)	5.634555
5.634555	Parlator	"i	5.714432
5.714432	Parlator	g^h\	5.890633
5.890633	Parlator	n	5.958453
5.958453	Parlator	o	6.071486
6.071486	Parlator	w#	6.130264
6.130264	Parlator	(.)	7.290608
7.290608	Parlator	t^h	7.352400
7.352400	Parlator	o_t_0#	7.478997
7.478997	Parlator	(.)	7.689992
7.689992	Parlator	t^h	7.727670
7.727670	Parlator	"o	7.825632
7.825632	Parlator	m#	7.967301
7.967301	Parlator	(.)	8.270230
8.270230	Parlator	k^h\	8.327500
8.327500	Parlator	"o	8.431491
8.431491	Parlator	w#	8.530960
8.530960	Parlator	n	8.577680
8.577680	Parlator	a#	8.681671
8.681671	Parlator	v	8.781140
8.781140	Parlator	1	8.854989
8.854989	Parlator	mw)	9.026799
9.026799	Parlator	^z\s\#	9.171482
9.171482	Parlator	(.)	9.430574
9.430574	Parlator	a#	9.496887
9.496887	Parlator	m	9.617456
9.617456	Parlator	1#	9.707883
9.707883	Parlator	"o	9.771181
9.771181	Parlator	b^h\	9.837494
9.837494	Parlator	j	9.908328
9.908328	Parlator	e#	9.974641
9.974641	Parlator	t^h	10.107267
10.107267	Parlator	1	10.173580
10.173580	Parlator	S#	10.351419
10.351419	Parlator	(.)	11.614247
11.614247	Parlator	(bo#nos#n\e#umjow#)	12.515499
12.515499	Parlator	u_0	12.714437
12.714437	Parlator	t^S	12.834876
12.834876	Parlator	1	12.907217
12.907217	Parlator	m	13.002165
13.002165	Parlator	a	13.109170
13.109170	Parlator	t^s\#	13.268923
13.268923	Parlator	(_)	14.129484
14.129484	Parlator	(_)	14.228953
14.228953	Parlator	(_)	14.298280
14.298280	Parlator	(_)	14.366100
14.366100	Parlator	(_)	14.458034
14.458034	Parlator	(_)	14.527230
14.527230	Parlator	(_)	14.611629
14.611629	Parlator	(_)	14.702055
14.702055	Parlator	(_)	14.857287
14.857287	Parlator	(_)	14.962785
14.962785	Parlator	(.)	15.398340
15.398340	Parlator	j	15.454103
15.454103	Parlator	o#	15.556587
15.556587	Parlator	j	15.647013
15.672634	Parlator	u	15.729904
15.763061	Parlator	Z#	15.913771
15.913771	Parlator	a#	15.995156
15.995156	Parlator	t^h	16.088597
16.088597	Parlator	"e#	16.147374
16.147374	Parlator	k^h	16.289042
16.289042	Parlator	o	16.380846
16.380846	Parlator	w	16.432087
16.432087	Parlator	"o#	16.584305
16.584305	Parlator	n\	16.658154
16.658154	Parlator	e#	16.771187
16.771187	Parlator	s\	16.915870
16.915870	Parlator	a	17.062059
17.062059	Parlator	d\	17.169064
17.169064	Parlator	u	17.265519
17.265519	Parlator	w#	17.325804
17.325804	Parlator	(.)	18.379143
18.379143	Parlator	b^h\	18.433399
18.433399	Parlator	o#	18.522319
18.522319	Parlator	w	18.552461
