Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025670   919.485440   1926.735851   3161.140418   4494.373660
0.031920   1002.139151   1764.674092   2857.077401   4477.237330
0.038170   967.232104   1869.004666   2885.293450   4328.797397
0.044420   1092.079931   1990.966226   2970.061198   4326.525354
0.050670   1469.367364   2638.277864   4052.852411   4539.961587
0.056920   1393.091763   2646.334493   4052.273205   5000.484665
0.063170   1351.338017   1633.045800   2907.409141   3930.630979
0.069420   1647.524309   2567.705122   3908.421231   4861.415369
0.075670   977.604388   2018.508427   3378.025701   4541.634764
0.081920   1204.250523   2227.363233   3699.699899   4586.829688
0.088170   1270.498947   2685.058076   3993.657980   4365.033425
0.094420   1270.133476   2618.993815   4022.624892   5558.934447
0.100670   1346.627840   2871.441558   4021.574667   5521.311993
0.106920   1591.967951   2951.383518   4142.934229   5387.942549
0.113170   428.889624   1619.369369   2905.765704   4209.864211
0.119420   506.448343   2592.092917   2767.322772   4784.416012
0.125670   521.789638   2663.242912   2753.717701   5124.351346
0.131920   524.838832   2633.731335   2737.756193   5147.430514
0.138170   512.557788   2248.743659   2783.567212   4922.080165
0.144420   508.204885   2449.816852   2767.831839   4710.374879
0.150670   476.064157   1857.469998   2697.268827   4938.171185
0.156920   467.995197   1479.223208   2735.213631   5086.729760
0.163170   453.457799   1197.224484   2679.062086   3657.452213
0.169420   448.393210   1137.074736   2694.416366   3645.382361
0.175670   444.793747   1130.076235   2768.431722   3480.145300
0.181920   450.760402   1193.076270   2628.451013   4104.376243
0.188170   466.860673   1248.666502   2653.029318   4100.361664
0.194420   493.335540   1066.025394   2690.682316   3856.197202
0.200670   516.140940   1174.534772   2661.800191   3779.434405
0.206920   568.746960   1402.913844   2693.812877   4034.536697
0.213170   586.075445   1574.394012   2791.031123   3948.801290
0.219420   582.701084   1633.808786   2737.205705   3928.774460
0.225670   574.397492   1585.120805   2668.027007   3926.028262
0.231920   574.553889   1510.286957   2710.415734   3934.630644
0.238170   579.971047   1500.193579   2596.033375   3875.566479
0.244420   596.112473   1496.411687   2555.470780   3837.526608
0.250670   595.028660   1420.915110   2545.550171   3810.873630
0.256920   587.343381   1361.746848   2578.913042   3830.806195
0.263170   584.477931   1300.655872   2568.310365   3845.276466
0.269420   578.466682   1271.749215   2501.457164   3842.204834
0.275670   568.325594   1284.992557   2525.187839   3874.897014
0.281920   584.758054   1213.007514   2534.483266   3827.592060
0.288170   582.287556   1182.729926   2619.923781   3758.230049
0.294420   587.456386   1194.675011   2570.623086   3706.864661
0.300670   582.294968   1245.266244   2735.334043   3822.976022
0.306920   563.841450   1255.776092   2733.999738   3956.471431
0.313170   584.897677   1247.308344   2778.546031   3923.293811
0.319420   633.890484   1364.823512   2818.166610   3998.737877
0.325670   630.607840   1738.774866   2983.866846   4079.587654
0.331920   615.937076   1734.507451   2928.751852   4123.878739
0.338170   658.197792   1554.867209   2916.424013   4195.974050
0.344420   625.185837   1529.482003   2958.903660   4196.198621
0.350670   622.986854   1359.019348   2911.922424   4107.706093
0.356920   673.349327   1342.345137   2875.601785   4114.113967
0.363170   678.999527   1294.018934   2799.080591   4121.565901
0.369420   663.502879   1333.921419   2757.765787   4106.093192
0.375670   677.341155   1359.539536   2735.657452   4080.359026
0.381920   663.631426   1391.545933   2814.287258   3977.087512
