tmin	tier	text	tmax
0	Parlator	 	0.117272
0.117272	Parlator	n	0.203478
0.203478	Parlator	^|O#	0.320908
0.320908	Parlator	(.)	0.652715
0.652715	Parlator	m	0.711533
0.711533	Parlator	|O	0.744987
0.744987	Parlator	|O	0.789030
0.789030	Parlator	|Z	0.877845
0.877845	Parlator	"|E	0.925272
0.925272	Parlator	|E	0.971699
0.971699	Parlator	d^z\	1.139482
1.139482	Parlator	s\	1.261173
1.261173	Parlator	|E#	1.356498
1.356498	Parlator	s	1.415316
1.415316	Parlator	a	1.488331
1.488331	Parlator	p^h	1.591769
1.591769	Parlator	|R	1.628276
1.628276	Parlator	|O	1.699263
1.699263	Parlator	|S	1.804154
1.804154	Parlator	"a#	1.876256
1.876256	Parlator	^vf	1.966985
1.966985	Parlator	|O	2.048113
2.048113	Parlator	s#	2.184001
2.184001	Parlator	(.)	2.676677
2.676677	Parlator	m	2.725354
2.725354	Parlator	"|O	2.768600
2.814087	Parlator	i#	2.879806
2.879806	Parlator	^|J\k^h	2.994408
2.994408	Parlator	|O	3.091711
3.091711	Parlator	|G	3.139105
3.139105	Parlator	"a	3.194421
3.194421	Parlator	a(~)	3.264853
3.264853	Parlator	n\	3.323671
3.323671	Parlator	i~#	3.410883
3.410883	Parlator	n	3.492011
3.492011	Parlator	a#	3.816522
3.816522	Parlator	(.) 	4.084244
4.084244	Parlator	m	4.183625
4.183625	Parlator	u	4.236389
4.275511	Parlator	i_^#	4.310168
4.310168	Parlator	(_)	4.393921
4.393921	Parlator	^|O	4.415581
4.462512	Parlator	"|O	4.506108
4.506108	Parlator	b^h\^j	4.602979
4.602979	Parlator	^i_^	4.619911
4.657455	Parlator	|O	4.699332
4.699332	Parlator	t^hi)#	4.799714
4.799714	Parlator	n\	4.856985
4.879113	Parlator	i	4.905828
4.932029	Parlator	d^s\	5.028900
5.028900	Parlator	e	5.138335
5.138335	Parlator	(R)	5.178899
5.178899	Parlator	|1	5.264083
5.264083	Parlator	n	5.329379
5.370744	Parlator	i#	5.395292
5.395292	Parlator	(.)	6.185277
6.185277	Parlator	"a	6.279695
6.279695	Parlator	v^j	6.347564
6.380054	Parlator	i	6.404603
6.446914	Parlator	d^s\	6.603085
6.603085	Parlator	|E#	6.708551
6.708551	Parlator	(.)	7.720444
7.720444	Parlator	u#	7.810759
7.829572	Parlator	n	7.907509
