tmin	tier	text	tmax
0	Eksplorator	(...)	15.740007
0.213075	Parlator	p^h	0.250630
0.250630	Parlator	"o	0.291599
0.291599	Parlator	(l)	0.353053
0.353053	Parlator	s	0.448648
0.448648	Parlator	c^h	0.489617
0.540828	Parlator	#a	0.583504
0.636423	Parlator	b^h\	0.684220
0.684220	Parlator	o#	0.735431
0.735431	Parlator	(n\mj)	0.916378
0.916378	Parlator	e	0.960762
1.006852	Parlator	t^s	1.095618
1.095618	Parlator	(ci)#	1.221940
1.221940	Parlator	(n\e)	1.303878
1.303878	Parlator	(.)	1.476290
1.518966	Parlator	"o	1.577005
1.631631	Parlator	n\#	1.720397
1.720397	Parlator	(j~)	1.785265
1.785265	Parlator	e	1.812578
1.812578	Parlator	r	1.853547
1.853547	Parlator	o	1.899637
1.973040	Parlator	z#	2.044736
2.044736	Parlator	mj)	2.155694
2.155694	Parlator	"e	2.227390
2.227390	Parlator	(l^jv1)#	2.461256
2.461256	Parlator	(_)	2.566945
2.566945	Parlator	(_)	2.722286
2.722286	Parlator	Z	2.799103
2.799103	Parlator	e#	2.877627
3.149048	Parlator	S	3.219037
3.219037	Parlator	"e#	3.278783
3.278783	Parlator	b^h	3.367550
3.367550	Parlator	o#	3.524598
3.524598	Parlator	p^h	3.594587
3.594587	Parlator	1	3.632142
3.632142	Parlator	w#	3.666283
3.807968	Parlator	p^l	3.883078
3.883078	Parlator	e	3.947945
3.947945	Parlator	b^h\	4.035005
4.035005	Parlator	i_t	4.103287
4.103287	Parlator	s:	4.311546
4.311546	Parlator	1	4.369586
4.369586	Parlator	d_}#	4.417236
4.417236	Parlator	p^r_0	4.483811
4.483811	Parlator	a	4.529901
4.529901	Parlator	v	4.606718
4.606718	Parlator	(a)#	4.669879
4.748403	Parlator	Z	4.821806
4.873017	Parlator	e#	4.913986
4.913986	Parlator	(_)	5.033480
5.033480	Parlator	(.)	5.451706
5.451706	Parlator	(_)	5.501210
5.501210	Parlator	(_)	5.574613
5.574613	Parlator	(_)	5.617289
5.617289	Parlator	(_)	5.666794
5.666794	Parlator	(_)	5.755560
5.755560	Parlator	(_)	5.863104
5.863104	Parlator	(_)	5.948456
5.948456	Parlator	(_)	5.989426
5.989426	Parlator	s\	6.078192
6.078192	Parlator	l	6.151595
6.151595	Parlator	o	6.219877
6.219877	Parlator	s	6.296694
6.296694	Parlator	k^h	6.329128
6.329128	Parlator	o	6.382046
6.417747	Parlator	t^s\:#	6.557725
6.557725	Parlator	(_)	6.610643
6.610643	Parlator	(_)	6.670390
6.670390	Parlator	(_)	6.730136
6.730136	Parlator	(_)	6.859872
6.859872	Parlator	n\	6.923033
6.923033	Parlator	e#	7.001557
7.001557	Parlator	(.)	7.298583
7.298583	Parlator	t^h	7.344673
