tmin	tier	text	tmax
0	Parlator	(.) (_)	4.945349
4.945349	Parlator	(k)	5.113068
5.113068	Parlator	l	5.167227
5.167227	Parlator	"o	5.216145
5.216145	Parlator	(p)	5.306993
5.306993	Parlator	S	5.403432
5.403432	Parlator	t^h	5.458988
5.497424	Parlator	a	5.525377
5.556824	Parlator	N	5.667240
5.667240	Parlator	g^h\	5.724893
5.724893	Parlator	i#	5.839850
5.839850	Parlator	n\	5.932445
5.932445	Parlator	e#	6.131611
6.131611	Parlator	(.)	6.966561
6.966561	Parlator	n	7.080121
7.080121	Parlator	"o#	7.247840
7.247840	Parlator	(.)	7.981610
7.981610	Parlator	o	8.128365
8.128365	Parlator	n	8.227948
8.227948	Parlator	a#	8.458561
8.458561	Parlator	(.)	9.047174
9.047174	Parlator	o	9.216640
9.216640	Parlator	n	9.351165
9.351165	Parlator	"a#	9.620214
9.620214	Parlator	n\	9.713158
9.713158	Parlator	i#	9.775703
9.775703	Parlator	vj)	9.828115
9.828115	Parlator	e	9.927699
9.927699	Parlator	d^z\	10.015052
10.137347	Parlator	a#	10.222954
10.222954	Parlator	t^s	10.359226
10.359226	Parlator	o#	10.429109
10.429109	Parlator	t^h	10.546162
10.546162	Parlator	"o#	10.594929
10.647342	Parlator	j	10.776625
10.776625	Parlator	e#	10.916391
10.916391	Parlator	(.)	11.276288
11.276288	Parlator	(_)	14.198990
14.198990	Parlator	(.)	15.533603
15.533603	Parlator	i#	15.613968
15.725781	Parlator	(j)	15.809990
15.809990	Parlator	o#	15.912717
15.912717	Parlator	s\	16.083931
16.143331	Parlator	"e#	16.221949
16.290085	Parlator	k^hh	16.517728
16.517728	Parlator	a	16.656970
16.656970	Parlator	p^h	16.868366
16.868366	Parlator	w	16.948581
16.948581	Parlator	a#	17.060393
17.060393	Parlator	Z	17.161724
17.161724	Parlator	e#	17.257813
17.325948	Parlator	o	17.429026
17.429026	Parlator	n	17.490173
17.490173	Parlator	a#	17.596745
17.596745	Parlator	mj)	17.696328
17.696328	Parlator	"e#	17.808141
17.808141	Parlator	d^h\	17.968871
