tmin	tier	text	tmax
0	Parlator	(...)	2.104874
0	Eksplorator	(_)	2.104874
2.104874	Parlator	n_0	2.167808
2.216531	Parlator	o#	2.267284
2.267284	Parlator	f	2.356609
2.417513	Parlator	"e	2.486537
2.486537	Parlator	t^h^w	2.616465
2.657068	Parlator	u	2.709851
2.709851	Parlator	(k^})#	2.761037
2.761037	Parlator	(.)	3.004043
3.004043	Parlator	f	3.058856
3.109609	Parlator	"e	3.186754
3.186754	Parlator	t^h\	3.318712
3.363983	Parlator	u	3.440520
3.440520	Parlator	k^h	3.606990
3.606990	Parlator	h#	3.862785
3.862785	Parlator	(.)	4.676864
4.676864	Parlator	o	4.762130
4.762130	Parlator	p^h	4.883937
4.883937	Parlator	o	5.007774
5.007774	Parlator	f	5.097100
5.097100	Parlator	j	5.154376
5.194979	Parlator	"e	5.284304
5.389262	Parlator	s\	5.689720
5.689720	Parlator	i_0#	5.929275
5.929275	Parlator	(.)	6.290637
6.290637	Parlator	S	6.400263
6.400263	Parlator	e#	6.483498
6.483498	Parlator	c	6.645908
6.672908	Parlator	"e	6.741324
6.741324	Parlator	d^h\	6.873891
6.873891	Parlator	1	6.950427
6.950427	Parlator	s\#	7.417355
7.417355	Parlator	t^h	7.583825
7.583825	Parlator	u#	7.953132
7.953132	Parlator	(.)	8.334795
8.334795	Parlator	v^j	8.432010
8.432010	Parlator	i	8.484793
8.484793	Parlator	L	8.517275
8.517275	Parlator	t^S	8.616982
8.639082	Parlator	o#	8.690067
8.690067	Parlator	b^h\	8.764950
8.764950	Parlator	1	8.848416
8.915179	Parlator	"a#	8.996615
9.065639	Parlator	o	9.120222
9.120222	Parlator	t^h	9.248350
9.248350	Parlator	o	9.309254
9.309254	Parlator	t^S	9.471664
9.501709	Parlator	o	9.538658
9.538658	Parlator	n	9.643818
9.643818	Parlator	o#	9.696601
9.745731	Parlator	l	9.875658
9.875658	Parlator	"a	9.991375
9.991375	Parlator	s	10.094912
10.094912	Parlator	a	10.234815
10.234815	Parlator	m	10.376923
10.376923	Parlator	i_0#	10.468279
10.468279	Parlator	s	10.551514
10.569554	Parlator	e	10.606327
10.606327	Parlator	r	10.642869
10.642869	Parlator	e	10.726104
10.726104	Parlator	S	10.851741
10.851741	Parlator	t^h	10.914906
10.914906	Parlator	o	10.985960
10.985960	Parlator	m^j	11.046864
11.046864	Parlator	e~	11.142280
11.142280	Parlator	S	11.335141
11.335141	Parlator	e	11.426497
11.426497	Parlator	s#	11.613268
11.613268	Parlator	(.)	11.802070
11.802070	Parlator	j	11.907636
11.907636	Parlator	"e	12.027413
12.027413	Parlator	s	12.173176
12.173176	Parlator	t_}#	12.295389
12.295389	Parlator	(.)	12.493935
12.493935	Parlator	mj)	12.548979
12.548979	Parlator	i	12.634013
12.634013	Parlator	n	12.684767
12.684767	Parlator	z	12.754022
12.754022	Parlator	1#	12.808604
12.808604	Parlator	l	12.910341
12.910341	Parlator	"a	12.989516
12.989516	Parlator	s	13.131625
13.131625	Parlator	a	13.255462
13.255462	Parlator	(mi)#	13.565840
13.565840	Parlator	(.)	13.947734
13.947734	Parlator	i_0#	14.002547
14.002547	Parlator	t^h	14.110144
14.110144	Parlator	u#	14.162521
14.162521	Parlator	p^h	14.276614
14.276614	Parlator	1	14.345232
14.345232	Parlator	w	14.406135
14.406135	Parlator	"o#	14.483687
14.562455	Parlator	p^h\	14.717151
14.771557	Parlator	"a	14.814597
14.814597	Parlator	r_0	14.891335
14.891335	Parlator	d^z	14.962389
14.962389	Parlator	o#	15.041795
15.041795	Parlator	t^h	15.118940
15.118940	Parlator	u_0	15.192024
15.192024	Parlator	S	15.269169
15.269169	Parlator	o#	15.368645
15.368645	Parlator	f	15.466091
15.466091	Parlator	(il_0)	15.624440
15.624440	Parlator	(u_0f)#	16.144152
16.144152	Parlator	i_t#	16.231447
16.231447	Parlator	s#	16.397917
16.397917	Parlator	t^h	16.498829
16.547740	Parlator	"o	16.602959
16.651682	Parlator	n	16.745068
16.745068	Parlator	t^h#	17.008578
17.008578	Parlator	(.)	17.230092
17.230092	Parlator	z\	17.311297
17.311297	Parlator	e	17.384381
17.384381	Parlator	e~	17.459496
17.459496	Parlator	w	17.524460
17.524460	Parlator	a#	17.619876
17.619876	Parlator	s\	17.753864
17.804386	Parlator	e#	17.843189
17.843189	Parlator	n	17.946725
17.946725	Parlator	"a	18.084774
18.084774	Parlator	s	18.216732
18.216732	Parlator	f^v	18.332449
18.332449	Parlator	a	18.523280
18.523280	Parlator	h#	18.661329
18.661329	Parlator	(.)	19.205402
19.205402	Parlator	f	19.266305
19.266305	Parlator	i_0	19.359691
19.359691	Parlator	(l_0)	19.587065
19.587065	Parlator	t^S	19.757420
19.757420	Parlator	a_0#	19.931779
19.931779	Parlator	(.)	20.951132
20.951132	Parlator	h	21.024216
21.024216	Parlator	"e	21.123692
21.123692	Parlator	r	21.230882
21.230882	Parlator	p_}#	21.312087
21.312087	Parlator	(.)	21.638937
21.638937	Parlator	t^h	21.724202
21.744910	Parlator	o#	21.787543
21.787543	Parlator	j	21.836266
21.836266	Parlator	"e	22.063464
22.063464	Parlator	s#	22.398434
