tmin	tier	text	tmax
0	Parlator	(.)	6.236174
6.236174	Parlator	(_)	6.347122
6.347122	Parlator	(_)	6.389916
6.389916	Parlator	(_)	6.431125
6.431125	Parlator	(_)	6.530978
6.530978	Parlator	(_)	7.112664
7.112664	Parlator	n	7.172892
7.211112	Parlator	o#	7.248971
7.272746	Parlator	"i#	7.323465
7.364674	Parlator	t^h	7.445508
7.445508	Parlator	o#	7.518417
7.518417	Parlator	(b^h\w)	7.637470
7.637470	Parlator	o#	7.707209
7.740493	Parlator	v	7.792617
7.792617	Parlator	S	7.905013
7.905013	Parlator	1	7.987749
7.987749	Parlator	s	8.189040
8.189040	Parlator	k^h	8.273044
8.273044	Parlator	o_k#	8.376067
8.376067	Parlator	(.)	8.808447
8.808447	Parlator	?	8.865506
8.865506	Parlator	"a#	8.905131
8.905131	Parlator	^bp^h	9.035099
9.035099	Parlator	w	9.076488
9.076488	Parlator	o	9.131782
9.131782	Parlator	^dt^h\	9.315819
9.315819	Parlator	1#	9.366358
9.366358	Parlator	j	9.437862
9.437862	Parlator	a	9.515345
9.515345	Parlator	k^h#	9.591604
9.659441	Parlator	(...)	14.170000
14.170000	Parlator	t^s	14.211209
14.211209	Parlator	o#	14.260343
14.260343	Parlator	t^s\	14.409331
14.409331	Parlator	i_k#	14.478752
14.478752	Parlator	t^h	14.570998
14.570998	Parlator	u#	14.639152
14.639152	Parlator	k^h\	14.745345
14.745345	Parlator	"o	14.827763
14.827763	Parlator	d^h	14.883237
14.911767	Parlator	a	14.943466
14.998940	Parlator	d^z\#	15.066777
15.066777	Parlator	o_t#	15.143173
15.143173	Parlator	s	15.215764
15.215764	Parlator	t^h	15.295330
15.295330	Parlator	a	15.379197
15.379197	Parlator	r	15.436256
15.436256	Parlator	1#	15.499655
15.499655	Parlator	p^h	15.656387
15.656387	Parlator	o_k	15.778430
15.778430	Parlator	l	15.827564
15.827564	Parlator	s	16.130294
16.130294	Parlator	"e#	16.244412
16.244412	Parlator	(.)	18.572780
18.572780	Parlator	t^h	18.607650
18.607650	Parlator	"o#	18.696408
18.696408	Parlator	s	18.765829
18.765829	Parlator	t^h	18.821621
18.821621	Parlator	a	18.930984
18.994246	Parlator	r	19.063985
19.063985	Parlator	1#	19.122629
19.122629	Parlator	p^h	19.224067
19.224067	Parlator	"o	19.387319
19.387319	Parlator	l	19.479248
19.479248	Parlator	s	19.621715
19.621715	Parlator	c^h	19.740588
19.740588	Parlator	i#	19.834101
19.834101	Parlator	n	19.922860
19.922860	Parlator	o:#	20.247642
20.247642	Parlator	p^h	20.398214
20.398214	Parlator	1	20.458443
20.458443	Parlator	w	20.505993
20.505993	Parlator	"o	20.626451
20.626451	Parlator	h#	20.670830
20.670830	Parlator	(.)	21.133642
21.133642	Parlator	n_0	21.203381
21.235080	Parlator	o#	21.276289
21.276289	Parlator	p^h\	21.418937
21.418937	Parlator	1	21.510865
21.510865	Parlator	w	21.572679
21.572679	Parlator	"o#	21.666193
21.666193	Parlator	k^x	21.885099
21.935819	Parlator	rw)	22.081636
22.081636	Parlator	x	22.184342
22.184342	Parlator	o#	22.249643
22.249643	Parlator	p^h	22.339987
22.339987	Parlator	e	22.409408
22.450935	Parlator	s	22.560161
22.598200	Parlator	4	22.620390
22.620390	Parlator	o	22.685374
22.685374	Parlator	b^h\	22.780472
22.780472	Parlator	o	22.880325
22.880325	Parlator	t^s\	23.038823
23.038823	Parlator	"e#	23.130751
23.130751	Parlator	b^h\	23.243284
23.243284	Parlator	1	23.378007
23.378007	Parlator	w	23.463595
23.463595	Parlator	o#	23.679152
23.679152	Parlator	(.)	24.225967
24.225967	Parlator	p^h	24.342938
24.342938	Parlator	1	24.393974
24.443109	Parlator	w	24.485903
24.536622	Parlator	"a#	24.584034
24.584034	Parlator	p^b^h^j	24.788496
24.788496	Parlator	j	24.829525
24.869149	Parlator	e	24.908773
24.975523	Parlator	d^h\	25.078546
25.183154	Parlator	"a	25.349576
25.349576	Parlator	h#	25.492224
25.492224	Parlator	(.)	26.289148
26.289148	Parlator	n	26.381076
26.381076	Parlator	o#	26.531648
26.531648	Parlator	(.)	26.996226
26.996226	Parlator	n\	27.067550
27.067550	Parlator	e#	27.126194
27.126194	Parlator	f	27.170573
27.170573	Parlator	S	27.278351
27.328890	Parlator	"1	27.371684
27.436848	Parlator	s	27.520671
27.520671	Parlator	t^s	27.595346
27.595346	Parlator	1#	27.665084
27.665084	Parlator	m	27.742748
27.742748	Parlator	j	27.794735
27.794735	Parlator	e	27.874301
27.874301	Parlator	L	27.927873
27.927873	Parlator	i#	28.015363
28.015363	Parlator	p^h	28.113632
28.113632	Parlator	j	28.202390
28.202390	Parlator	"1	28.261034
28.261034	Parlator	d^h\	28.346623
28.346623	Parlator	a#	28.457434
28.457434	Parlator	p^h	28.571371
28.571371	Parlator	o_k#	28.679150
28.806128	Parlator	j	28.855082
28.855082	Parlator	e	28.932926
28.932926	Parlator	t^h	29.042289
29.042289	Parlator	n\	29.097763
29.097763	Parlator	"i#	29.164332
29.234071	Parlator	p^h	29.365443
29.365443	Parlator	a	29.387813
29.387813	Parlator	4	29.411587
29.411587	Parlator	a	29.468647
29.468647	Parlator	t^s	29.623974
29.623974	Parlator	o	29.668036
29.668036	Parlator	f	29.757112
29.757112	Parlator	a	29.833190
29.947308	Parlator	l^j	30.009122
30.094711	Parlator	"i#	30.172374
30.172374	Parlator	(.)	30.241796
30.241796	Parlator	j_k	30.338660
30.338660	Parlator	i	30.430588
30.430588	Parlator	d^h\	30.482892
30.482892	Parlator	n\	30.533611
30.533611	Parlator	i#	30.582745
30.582745	Parlator	r	30.688758
30.688758	Parlator	o	30.748987
30.748987	Parlator	b^h^j	30.850606
30.850606	Parlator	i	30.912420
31.028123	Parlator	L	31.110541
31.150166	Parlator	"i~#	31.237339
31.237339	Parlator	n\_k	31.370477
31.370477	Parlator	e#	31.530559
31.530559	Parlator	n	31.630412
31.630412	Parlator	a#	31.750870
31.750870	Parlator	k^h\	31.860234
31.860234	Parlator	r	31.989884
31.989884	Parlator	@w)	32.040603
32.040603	Parlator	u	32.107352
32.107352	Parlator	b^h^j	32.208610
32.242075	Parlator	j	32.297549
32.383138	Parlator	"e#	32.481406
32.481406	Parlator	(.)	33.277062
33.277062	Parlator	a	33.389595
33.389595	Parlator	b^h\	33.514808
33.514808	Parlator	o#	33.549678
33.617831	Parlator	k^x	33.768404
33.768404	Parlator	"a	33.842898
33.842898	Parlator	j#	33.955294
33.955294	Parlator	l	34.031372
34.031372	Parlator	a#	34.101111
34.101111	Parlator	k^h	34.245163
34.245163	Parlator	o	34.319837
34.319837	Parlator	k^h	34.424265
34.424265	Parlator	s	34.562338
34.562338	Parlator	"o	34.696881
34.768204	Parlator	f	34.934807
34.934807	Parlator	n\	35.080444
35.080444	Parlator	i~#	35.213762
35.213762	Parlator	(.)	36.386505
36.386505	Parlator	n	36.532323
36.532323	Parlator	"o#	36.603646
36.603646	Parlator	(_)	37.220201
37.220201	Parlator	s^z	37.286770
37.286770	Parlator	a	37.375528
37.375528	Parlator	r	37.467139
37.467139	Parlator	o	37.527368
37.527368	Parlator	bp^h	37.636912
37.636912	Parlator	i	37.727255
37.727255	Parlator	L	37.808089
37.808089	Parlator	"i	37.977500
37.977500	Parlator	?#	38.022060
38.022060	Parlator	i#	38.071014
38.071014	Parlator	j	38.180557
38.180557	Parlator	a	38.255051
38.255051	Parlator	k^h	38.340459
38.340459	Parlator	o	38.396114
38.396114	Parlator	j#	38.464267
38.464267	Parlator	Z	38.594235
38.594235	Parlator	1	38.709938
38.709938	Parlator	L	38.786017
38.786017	Parlator	i_k#	38.892210
38.942929	Parlator	a	39.039613
39.039613	Parlator	l	39.095087
39.095087	Parlator	e#	39.155316
39.155316	Parlator	g^h\	39.256754
39.256754	Parlator	o	39.364532
39.364532	Parlator	r	39.456460
39.456460	Parlator	z\	39.575016
39.575016	Parlator	i~#	39.622746
39.622746	Parlator	mj)	39.694069
39.694069	Parlator	j~	39.759053
39.798497	Parlator	e	39.844642
39.844642	Parlator	L	39.882681
39.882681	Parlator	i#	39.963515
39.963515	Parlator	t^s\	40.112502
40.112502	Parlator	i#	40.155296
40.155296	Parlator	b^h\	40.225035
40.225035	Parlator	e	40.329643
40.329643	Parlator	z	40.407307
40.407307	Parlator	@	40.443762
40.443762	Parlator	4	40.477046
40.477046	Parlator	o	40.521425
40.521425	Parlator	b^p^h	40.629203
40.629203	Parlator	o_0	40.695772
40.695772	Parlator	t^h	40.854270
40.854270	Parlator	n\#	40.931933
40.931933	Parlator	(.)	41.389853
41.389853	Parlator	n	41.440572
41.440572	Parlator	"a~#	41.494462
41.494462	Parlator	t^h	41.624429
41.624429	Parlator	1	41.698923
41.698923	Parlator	d^z\	41.827306
41.827306	Parlator	i~	41.898630
41.898630	Parlator	n\#	41.954104
41.954104	Parlator	d^h	42.009578
42.009578	Parlator	o	42.084071
42.084071	Parlator	st^h	42.289937
42.329562	Parlator	"a	42.391556
42.429596	Parlator	l^j	42.470805
42.470805	Parlator	i#	42.610282
42.610282	Parlator	z	42.754515
42.754515	Parlator	w	42.846126
42.900015	Parlator	o	42.974509
42.974509	Parlator	t^h#	43.104794
43.104794	Parlator	S	43.253644
43.253644	Parlator	t^h	43.309118
43.309118	Parlator	@	43.353498
43.353498	Parlator	r	43.458106
43.458106	Parlator	d^z\	43.567469
43.567469	Parlator	"e	43.638793
43.638793	Parlator	s\	43.960542
43.960542	Parlator	t^s\	44.028696
44.028696	Parlator	i#	44.142814
44.142814	Parlator	(.)	45.318727
45.318727	Parlator	i#	45.380292
45.380292	Parlator	Z	45.497829
45.497829	Parlator	"1	45.643646
45.643646	Parlator	w#	45.726065
45.726065	Parlator	x	45.832258
45.832258	Parlator	w	45.884562
45.884562	Parlator	"o	46.024040
46.024040	Parlator	p^h#	46.230086
46.230086	Parlator	i#	46.296269
46.296269	Parlator	b^h\	46.379074
46.379074	Parlator	a	46.523306
46.523306	Parlator	p^h	46.616820
46.616820	Parlator	a#	46.719457
46.719457	Parlator	z	46.843471
46.887850	Parlator	a#	46.970132
46.970132	Parlator	t^h	47.119119
47.119119	Parlator	o#	47.218972
47.218972	Parlator	(.)	49.542406
49.542406	Parlator	n	49.613729
49.613729	Parlator	o#	49.680298
49.723093	Parlator	(.)	54.697911
54.697911	Parlator	t^s	54.780330
54.780330	Parlator	o#	54.842144
54.842144	Parlator	t^h	54.981622
54.981622	Parlator	u#	55.024416
55.024416	Parlator	j	55.095740
55.095740	Parlator	e	55.143289
55.143289	Parlator	S	55.284351
55.284351	Parlator	e#	55.376280
55.376280	Parlator	g^h\	55.457113
55.457113	Parlator	"o	55.566477
55.566477	Parlator	d^h\	55.645725
55.645725	Parlator	a	55.726559
55.726559	Parlator	d^s\#	55.827997
55.827997	Parlator	o_0#	55.929435
55.929435	Parlator	s	56.024940
56.024940	Parlator	t^h	56.059403
56.059403	Parlator	a	56.135482
56.135482	Parlator	4	56.179861
56.179861	Parlator	1#	56.235335
56.235335	Parlator	p^h	56.355656
56.355656	Parlator	o	56.395280
56.395280	Parlator	l	56.445999
56.445999	Parlator	s	56.564872
56.564872	Parlator	e#	56.612422
56.612422	Parlator	(.)	57.017133
57.017133	Parlator	n	57.083702
57.083702	Parlator	"u#	57.170332
57.170332	Parlator	b^h\	57.234138
57.234138	Parlator	1	57.276525
57.276525	Parlator	w	57.347849
