tmin	tier	text	tmax
0	Parlator	(.)	1.287157
1.287157	Parlator	(d^z\)	1.327390
1.327390	Parlator	e	1.380001
1.380001	Parlator	f	1.449634
1.449634	Parlator	t^S	1.537836
1.537836	Parlator	1	1.612111
1.612111	Parlator	n	1.660080
1.660080	Parlator	1:#	1.841126
1.841126	Parlator	(.)	2.257242
2.257242	Parlator	m	2.303663
2.303663	Parlator	u	2.379486
2.379486	Parlator	S	2.464593
2.464593	Parlator	a#	2.524941
2.524941	Parlator	v	2.574458
2.574458	Parlator	o	2.661112
2.661112	Parlator	m#	2.724556
2.724556	Parlator	o	2.842158
2.842158	Parlator	p^h	2.941191
2.941191	Parlator	(_)	3.021656
3.021656	Parlator	v^j	3.112952
3.112952	Parlator	"e	3.270787
3.270787	Parlator	d^z\	3.372915
3.372915	Parlator	e	3.471948
3.577171	Parlator	t^s\#	3.691679
3.691679	Parlator	(.)	4.319788
4.319788	Parlator	t^s	4.460601
4.460601	Parlator	o#	4.581298
4.581298	Parlator	j	4.660215
4.660215	Parlator	"o#	4.770081
4.770081	Parlator	m	4.844356
4.844356	Parlator	o	4.918631
4.918631	Parlator	m#	4.988264
4.988264	Parlator	z	5.056349
5.087297	Parlator	a#	5.152288
5.152288	Parlator	t^s	5.299290
5.299290	Parlator	1	5.399871
5.399871	Parlator	r	5.500452
5.500452	Parlator	k^h	5.610317
5.610317	Parlator	"u	5.726372
5.726372	Parlator	s#	5.865638
5.865638	Parlator	(.)	6.196647
6.196647	Parlator	s	6.312702
6.312702	Parlator	t^h	6.407093
6.407093	Parlator	1	6.455062
6.455062	Parlator	m#	6.518506
6.518506	Parlator	p^h^j	6.631466
6.631466	Parlator	j	6.684077
6.684077	Parlator	"e	6.750615
6.750615	Parlator	r	6.800132
6.800132	Parlator	o~	6.897618
6.897618	Parlator	n\	6.988914
6.988914	Parlator	s	7.186981
7.186981	Parlator	c^h	7.256614
7.256614	Parlator	i	7.304583
7.304583	Parlator	i~	7.337079
7.337079	Parlator	m#	7.479439
7.479439	Parlator	o	7.566093
7.566093	Parlator	r	7.646558
7.646558	Parlator	a	7.736173
7.863060	Parlator	S#	8.149328
8.149328	Parlator	(.)	9.758488
9.758488	Parlator	i	9.879185
9.879185	Parlator	1	9.958102
