tmin	tier	text	tmax
0	Parlator	fj)	0.045744
0.045744	Parlator	i	0.080663
0.080663	Parlator	k^h\	0.171132
0.171132	Parlator	u	0.234620
0.285410	Parlator	r_0	0.337787
0.337787	Parlator	c^h\	0.415559
0.415559	Parlator	(i_0)#	0.458414
0.458414	Parlator	p^h	0.537773
0.537773	Parlator	o	0.580627
0.580627	Parlator	r	0.626656
0.626656	Parlator	t^s	0.761567
0.761567	Parlator	"e	0.837752
0.837752	Parlator	l	0.888542
0.888542	Parlator	a	0.917111
0.917111	Parlator	n	0.988535
1.037738	Parlator	o	1.118684
1.118684	Parlator	v	1.223439
1.223439	Parlator	e#	1.294862
1.328193	Parlator	a	1.363111
1.386919	Parlator	b^h\	1.472627
1.472627	Parlator	o#	1.529766
1.563097	Parlator	j	1.612300
1.642457	Parlator	a	1.678962
1.704357	Parlator	c^h\	1.872599
1.872599	Parlator	i#	2.018620
2.018620	Parlator	(.)	2.839060
2.839060	Parlator	t^h	2.964448
2.964448	Parlator	o#	3.034284
3.034284	Parlator	u	3.080313
3.080313	Parlator	k^w^h	3.245380
3.245380	Parlator	w	3.299345
3.331089	Parlator	d^h\	3.388227
3.423146	Parlator	o	3.481872
3.481872	Parlator	w#	3.570754
3.570754	Parlator	z_o	3.640590
3.640590	Parlator	f	3.694555
3.694555	Parlator	S	3.783437
3.783437	Parlator	e#	3.875494
4.375322	Parlator	d^z\	4.427699
4.427699	Parlator	"e	4.488012
4.488012	Parlator	t^s\	4.595941
4.595941	Parlator	i#	4.645144
4.645144	Parlator	m	4.708632
4.708632	Parlator	u	4.741963
4.741963	Parlator	t^h	4.845130
4.845130	Parlator	"e	4.873699
4.873699	Parlator	r_0#	4.908617
4.908617	Parlator	p^h	5.003849
5.003849	Parlator	o	5.053052
5.053052	Parlator	m	5.122888
5.122888	Parlator	o	5.178440
5.178440	Parlator	g^h\	5.253037
5.253037	Parlator	"a	5.305415
5.305415	Parlator	j	5.351443
5.351443	Parlator	w#	5.419692
5.419692	Parlator	Z	5.489529
5.489529	Parlator	e	5.513336
5.513336	Parlator	b^h\	5.573650
5.573650	Parlator	1#	5.618091
5.618091	Parlator	s\#	5.699038
5.722845	Parlator	n\	5.803792
5.803792	Parlator	e#	5.851408
5.851408	Parlator	n	5.932354
5.932354	Parlator	a	5.983144
5.983144	Parlator	r	6.021237
6.021237	Parlator	o	6.063954
6.063954	Parlator	bj)^h\	6.157598
6.157598	Parlator	i	6.224260
6.278224	Parlator	w	6.333776
6.388216	Parlator	"a#	6.450117
6.490908	Parlator	s	6.636929
6.636929	Parlator	1	6.687719
6.687719	Parlator	N	6.775015
6.775015	Parlator	c^h	6.862310
6.862310	Parlator	i#	6.930559
6.930559	Parlator	a	6.979762
6.979762	Parlator	k^h#	7.074993
7.074993	Parlator	s	7.174986
7.174986	Parlator	o	7.211492
7.211492	Parlator	m#	7.313547
7.313547	Parlator	t^h	7.387670
7.424651	Parlator	"o#	7.464330
7.501947	Parlator	(.)	7.893846
7.893846	Parlator	"o	7.924478
7.972094	Parlator	j	8.003362
8.003362	Parlator	t^s	8.117639
8.117639	Parlator	o	8.174778
8.174778	Parlator	(m#n)	8.257312
8.257312	Parlator	a#	8.320800
8.320800	Parlator	z	8.377938
8.377938	Parlator	1	8.406508
8.406508	Parlator	g^h\	8.508088
8.508088	Parlator	r	8.566814
8.566814	Parlator	u	8.612842
8.612842	Parlator	t^s	8.830287
8.830287	Parlator	e#	8.876791
8.876791	Parlator	z	8.920757
8.920757	Parlator	a	8.984245
8.984245	Parlator	f	9.038685
9.038685	Parlator	S	9.135028
9.135028	Parlator	e#	9.166771
9.166771	Parlator	p^h	9.274700
9.274700	Parlator	o	9.311206
9.311206	Parlator	m	9.414373
9.414373	Parlator	"o	9.492145
9.492145	Parlator	g^h\	9.563569
9.563569	Parlator	o	9.634992
9.634992	Parlator	m#	9.791987
9.791987	Parlator	n\	9.955467
9.979751	Parlator	"a	10.016256
10.039588	Parlator	b^h\	10.133232
10.133232	Parlator	o#	10.180848
10.180848	Parlator	t^h	10.253859
10.279729	Parlator	a	10.309886
10.334805	Parlator	m#	10.420514
10.449559	Parlator	o	10.519395
10.550663	Parlator	m^j	10.644307
10.644307	Parlator	j	10.703509
10.771758	Parlator	e#	10.879211
10.879211	Parlator	(.)	12.018676
12.018676	Parlator	a	12.071053
12.071053	Parlator	b^h\	12.136128
12.136128	Parlator	o#	12.223423
12.223423	Parlator	o_k	12.280562
12.280562	Parlator	"o	12.348811
12.348811	Parlator	p^h	12.486897
12.486897	Parlator	a#	12.569975
12.569975	Parlator	(.)	12.907502
12.944007	Parlator	j	12.966635
12.966635	Parlator	"a	12.997971
12.997971	Parlator	k^h#	13.064633
13.064633	Parlator	p^h	13.121772
13.121772	Parlator	o	13.182085
13.182085	Parlator	t^S	13.286840
13.286840	Parlator	1	13.339217
13.339217	Parlator	b^h\	13.426513
13.426513	Parlator	u	13.473991
13.473991	Parlator	j	13.552308
13.552308	Parlator	e#	13.573984
13.573984	Parlator	p^h	13.654931
13.654931	Parlator	o	13.721593
13.721593	Parlator	m	13.791429
13.791429	Parlator	o	13.856504
13.856504	Parlator	t^s	13.956496
13.956496	Parlator	1#	14.002525
14.002525	Parlator	t^h	14.077123
14.077123	Parlator	o#	14.128457
14.128457	Parlator	s\	14.234255
14.234255	Parlator	e#	14.281870
14.281870	Parlator	p^h	14.380820
14.380820	Parlator	o	14.421543
14.421543	Parlator	m	14.508838
14.508838	Parlator	o	14.580262
14.580262	Parlator	g^h\	14.678668
14.678668	Parlator	o#	14.738981
14.738981	Parlator	n::	14.991344
14.991344	Parlator	o#	15.045308
15.111970	Parlator	i#	15.148475
15.148475	Parlator	t^h	15.215137
15.215137	Parlator	"o#	15.270689
15.270689	Parlator	s	15.348324
15.348324	Parlator	o	15.395940
15.395940	Parlator	m#	15.487997
15.487997	Parlator	t^h	15.556246
15.556246	Parlator	e#	15.600687
15.600687	Parlator	t^S	15.753057
15.753057	Parlator	1#	15.794324
15.794324	Parlator	tj)^h\	15.881620
15.881620	Parlator	n\#	16.065734
16.065734	Parlator	(.)	16.759653
16.759653	Parlator	n	16.789492
